inner_map_transition_state,count,avg_score_delta,avg_stability_delta,avg_variation_delta,avg_drift_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
stable_same_inner_state,268,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False
new_in_right_inner_map,26,0.207692308,0.55,0.083076923,0.0,True,False,False,False,False,False,False,False
missing_in_right_inner_map,21,-0.207936508,-0.55,-0.083174603,0.0,True,False,False,False,False,False,False,False
