inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_carried,6,10.0,37.098731,"dio_02qu,dio_0arw,dio_0x1o,dio_16yc,dio_1txv,dio_1vpi","LONG,SHORT"
inner_consequence_burdened,1,-1.0,0.249721,dio_0fiy,LONG
inner_consequence_quiet,7,0.0,0.0,"dio_0igh,dio_143d,dio_14xc,dio_16yc,dio_1g2t,dio_1qwp,dio_1txv",WAIT
