left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_07kj,dio_09u3,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004383,0.999846,0.002096,0.999965,0.006214,0.999691,0.0,1.0,0.000352,0.999999,0.000132,1.0,0.0,1.0,0.002319,0.999957,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_07kj+dio_09u3: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0r8l,dio_10xx,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004637,0.999828,0.002544,0.999948,0.005678,0.999742,0.0,1.0,0.002464,0.999951,0.003904,0.999878,0.0,1.0,0.003011,0.999927,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0r8l+dio_10xx: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0gx0,dio_1n79,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004761,0.999819,0.003167,0.99992,0.012802,0.998691,0.0,1.0,0.000878,0.999994,0.000404,0.999999,0.0,1.0,0.003531,0.9999,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0gx0+dio_1n79: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_10qz,dio_114i,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.005957,0.999716,0.006195,0.999693,0.004299,0.999852,0.0,1.0,0.001762,0.999975,0.000553,0.999998,0.0,1.0,0.003599,0.999896,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_10qz+dio_114i: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1q4u,dio_03yz,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.009466,0.999284,0.00246,0.999952,0.010329,0.999147,0.0,1.0,0.000741,0.999996,0.00097,0.999992,0.0,1.0,0.004234,0.999857,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1q4u+dio_03yz: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_10qz,dio_1ytc,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006363,0.999676,0.003151,0.999921,0.017029,0.997685,0.0,1.0,0.000139,1.0,0.000123,1.0,0.0,1.0,0.004293,0.999853,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_10qz+dio_1ytc: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0p12,dio_12jj,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012441,0.998763,0.004627,0.999829,0.001508,0.999982,0.0,1.0,0.001499,0.999982,0.000816,0.999995,0.0,1.0,0.00446,0.999841,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0p12+dio_12jj: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0dos,dio_0rt8,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.011441,0.998954,0.004578,0.999832,0.006109,0.999702,0.0,1.0,0.000512,0.999998,0.0008,0.999995,0.0,1.0,0.004622,0.999829,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0dos+dio_0rt8: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1204,dio_0icm,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.010691,0.999087,0.008324,0.999446,0.002375,0.999955,0.0,1.0,0.002215,0.999961,0.002189,0.999962,0.0,1.0,0.005167,0.999786,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1204+dio_0icm: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_15u1,dio_1mpk,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.010038,0.999195,0.005533,0.999755,0.01319,0.99861,0.0,1.0,0.000357,0.999999,0.000802,0.999995,0.0,1.0,0.005323,0.999773,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_15u1+dio_1mpk: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_12x0,dio_0zkk,8,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.010051,0.999193,0.001755,0.999975,0.015405,0.998105,0.0,1.0,0.002732,0.99994,0.004075,0.999867,0.0,1.0,0.005355,0.999771,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_12x0+dio_0zkk: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0325,dio_1ytc,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.009831,0.999227,0.002587,0.999946,0.020093,0.996781,0.0,1.0,0.000484,0.999998,0.000145,1.0,0.0,1.0,0.005419,0.999765,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0325+dio_1ytc: gleiche passive Bedeutungsinsel, ohne Handlung."
