family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_0hd3:SHORT,dio_0hd3,SHORT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,6,6,0,no_prior_phase:3,TP:3,0,,2.0,3.0,1.0,1.0,0.0,1.0,1,0,0,0,dio_0hd3:SHORT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0szn:SHORT,dio_0szn,SHORT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,13,13,0,executed_temporal_contact:3,TP:3,0,7.0,3.0,3.0,1.0,0.702948,0.282051,0.996421,1,0,0,0,dio_0szn:SHORT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0989:WAIT,dio_0989,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,11,11,0,different_contact_afterimage:3,NO_TRADE:3,0,5.0,,0.0,0.0,0.398793,0.0,1.0,1,0,0,0,dio_0989:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0b66:WAIT,dio_0b66,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,5,5,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0b66:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0gmg:WAIT,dio_0gmg,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,18,18,0,different_contact_afterimage:3,NO_TRADE:3,0,5.0,,0.0,0.0,0.518796,0.0,1.0,1,0,0,0,dio_0gmg:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0qze:WAIT,dio_0qze,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,2,2,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0qze:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_173s:WAIT,dio_173s,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,12,12,0,different_contact_afterimage:3,NO_TRADE:3,0,6.0,,0.0,0.0,0.572586,0.0,1.0,1,0,0,0,dio_173s:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1guc:WAIT,dio_1guc,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,3,3,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1guc:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1rv1:WAIT,dio_1rv1,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,1,1,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1rv1:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1t1w:WAIT,dio_1t1w,WAIT,fresh_local_episode_trace,1,variant_probe14_f2,3,3,variant_probe14_f2,variant_probe14_f2,4,4,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1t1w:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
