dio_0hd3:SHORT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0szn:SHORT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0989:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0b66:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0gmg:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0qze:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_173s:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1guc:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1rv1:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1t1w:WAIT: fresh_local_episode_trace; Quellen=variant_probe14_f2; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
