family_action,variant_reife_state,event_reward_sum,symbol_family,action,freshness_state,source_count,episode_count,run_count,outcome_events,avg_event_reward,phase_time_states,avg_phase_distance,avg_binding_pressure,avg_release_pressure,related_reference_family,related_reference_action,related_reference_outcome,transfer_reife_state,transfer_reife,transfer_similarity,transfer_event_relation,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,variant_reife_sentence
dio_0120:WAIT,variant_local_wait_context,0.0,dio_0120,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,active_afterimage_contact:3,0.305067,0.63206,0.257734,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0120:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_040y:WAIT,variant_local_wait_context,0.0,dio_040y,WAIT,fresh_local_episode_trace,1,1,1,NO_TRADE:1,0.0,different_contact_afterimage:1,0.571986,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_040y:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_10dk:WAIT,variant_local_wait_context,0.0,dio_10dk,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_10dk:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_14xc:WAIT,variant_local_wait_context,0.0,dio_14xc,WAIT,fresh_local_episode_trace,1,1,1,NO_TRADE:1,0.0,active_afterimage_contact:1,0.532903,0.466912,0.224665,,,,,0.0,0.0,,1,0,0,0,0,0,dio_14xc:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1d1z:WAIT,variant_local_wait_context,0.0,dio_1d1z,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1d1z:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1f9y:WAIT,variant_local_wait_context,0.0,dio_1f9y,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.427016,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1f9y:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_13u8:WAIT,variant_related_observation_trace,0.0,dio_13u8,WAIT,fresh_local_episode_trace,1,1,1,NO_TRADE:1,0.0,active_afterimage_contact:1,0.376618,0.518795,0.113123,dio_02qu,LONG,TP,transfer_reife_open,0.493610047,0.975289597,positive_to_neutral,1,0,0,0,0,0,"dio_13u8:WAIT: Die Variante ist verwandt mit dio_02qu (similarity=0.975290), bleibt aber Beobachtung."
dio_143d:WAIT,variant_related_observation_trace,0.0,dio_143d,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,different_contact_afterimage:2,0.394757,0.0,1.0,dio_14xc,WAIT,NO_TRADE,transfer_reife_quiet_same_consequence,0.903487085,0.982860751,neutral_to_neutral,1,0,0,0,0,0,"dio_143d:WAIT: Die Variante ist verwandt mit dio_14xc (similarity=0.982861), bleibt aber Beobachtung."
dio_1c6b:WAIT,variant_related_observation_trace,0.0,dio_1c6b,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_1txv,SHORT,TP,transfer_reife_open,0.500622741,0.993744055,positive_to_neutral,1,0,0,0,0,0,"dio_1c6b:WAIT: Die Variante ist verwandt mit dio_1txv (similarity=0.993744), bleibt aber Beobachtung."
dio_1d3r:WAIT,variant_related_observation_trace,0.0,dio_1d3r,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,no_prior_phase:2,1.0,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.357484664,0.78285438,positive_to_negative,1,0,0,0,0,0,"dio_1d3r:WAIT: Die Variante ist verwandt mit dio_0arw (similarity=0.782854), bleibt aber Beobachtung."
dio_1m4n:WAIT,variant_related_observation_trace,0.0,dio_1m4n,WAIT,fresh_local_episode_trace,1,2,2,NO_TRADE:2,0.0,different_contact_afterimage:2,0.389568,0.0,1.0,dio_1vpi,SHORT,TP,transfer_reife_open,0.494182048,0.976794864,positive_to_neutral,1,0,0,0,0,0,"dio_1m4n:WAIT: Die Variante ist verwandt mit dio_1vpi (similarity=0.976795), bleibt aber Beobachtung."
dio_1d3r:LONG,variant_self_burden_action_trace,-1.0,dio_1d3r,LONG,fresh_local_episode_trace,1,1,1,SL:1,-1.0,no_prior_phase:1,1.0,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.357484664,0.78285438,positive_to_negative,1,0,0,0,0,0,dio_1d3r:LONG: Die Variante belastet diese Handlung aus eigener Konsequenz; reward=-1.000000.
dio_1mym:LONG,variant_self_burden_action_trace,-1.0,dio_1mym,LONG,fresh_local_episode_trace,1,1,1,SL:1,-1.0,executed_temporal_contact:1,0.527714,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1mym:LONG: Die Variante belastet diese Handlung aus eigener Konsequenz; reward=-1.000000.
dio_0n9e:LONG,variant_self_carried_action_trace,2.0,dio_0n9e,LONG,fresh_local_episode_trace,1,2,2,TP:2,1.0,no_prior_phase:2,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0n9e:LONG: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=2.000000.
dio_1k7y:LONG,variant_self_carried_action_trace,2.0,dio_1k7y,LONG,fresh_local_episode_trace,1,2,2,TP:2,1.0,executed_temporal_contact:2,0.552587,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1k7y:LONG: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=2.000000.
