variant_reife_state,count,event_reward_sum,episode_count,avg_transfer_similarity,family_actions
variant_local_wait_context,6,0.0,14,0.0,"dio_0120:WAIT,dio_040y:WAIT,dio_10dk:WAIT,dio_14xc:WAIT,dio_1d1z:WAIT,dio_1f9y:WAIT"
variant_related_observation_trace,5,0.0,10,0.942308729,"dio_13u8:WAIT,dio_143d:WAIT,dio_1c6b:WAIT,dio_1d3r:WAIT,dio_1m4n:WAIT"
variant_self_burden_action_trace,2,-2.0,2,0.78285438,"dio_1d3r:LONG,dio_1mym:LONG"
variant_self_carried_action_trace,2,4.0,4,0.0,"dio_0n9e:LONG,dio_1k7y:LONG"
