inner_state,contact_state,count,reward_sum,event_reward_sum,avg_reward,families,actions,outcome_events
inner_consequence_carried,real_contact_carried,12,12.0,12.0,1.0,"dio_02qu,dio_0arw,dio_1u7v,dio_1vpi","LONG,SHORT",TP
inner_consequence_quiet,held_impulse_without_action,3,0.0,0.0,0.0,dio_14xc,WAIT,NO_TRADE
