run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
159,1,1767480300000000,dio_0cgn,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_0cgn: run=159 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,2,1767480600000000,dio_0x52,maturation_stable_conflicted_burden,moment_conflicted_burden,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,SHORT,SL,sehen_stabile_form,hoeren_helle_spannung,fuehlen_koharent_ruhig,-1.0,-1.0,-2.0,dio_0x52: run=159 tick=2; moment_conflicted_burden; Reife=maturation_stable_conflicted_burden; Bindung=multisensory_conflicted_burden; Aktion=SHORT; reward=-1.000000.,1
159,7,1767482100000000,dio_15ms,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_leise,fuehlen_offen,0.0,0.0,0.0,dio_15ms: run=159 tick=7; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,8,1767482400000000,dio_0izw,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,0.0,0.0,0.0,dio_0izw: run=159 tick=8; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,9,1767482700000000,dio_07rf,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_07rf: run=159 tick=9; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,10,1767483000000000,dio_1pfo,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1pfo: run=159 tick=10; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,11,1767483300000000,dio_1mx2,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_dunkle_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1mx2: run=159 tick=11; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,12,1767483600000000,dio_173s,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_173s: run=159 tick=12; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,13,1767483900000000,dio_1g18,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,1.0,1.0,3.0,dio_1g18: run=159 tick=13; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
159,18,1767485400000000,dio_0gmg,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_0gmg: run=159 tick=18; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,1,1767480300000000,dio_0cgn,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_0cgn: run=160 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,2,1767480600000000,dio_0x52,maturation_stable_conflicted_burden,moment_conflicted_burden,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,SHORT,SL,sehen_stabile_form,hoeren_helle_spannung,fuehlen_koharent_ruhig,-1.0,-1.0,-2.0,dio_0x52: run=160 tick=2; moment_conflicted_burden; Reife=maturation_stable_conflicted_burden; Bindung=multisensory_conflicted_burden; Aktion=SHORT; reward=-1.000000.,1
160,7,1767482100000000,dio_15ms,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_leise,fuehlen_offen,0.0,0.0,0.0,dio_15ms: run=160 tick=7; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
160,8,1767482400000000,dio_0izw,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,0.0,0.0,0.0,dio_0izw: run=160 tick=8; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,9,1767482700000000,dio_07rf,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_07rf: run=160 tick=9; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,10,1767483000000000,dio_1pfo,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1pfo: run=160 tick=10; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,11,1767483300000000,dio_1mx2,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_dunkle_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1mx2: run=160 tick=11; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,12,1767483600000000,dio_173s,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_173s: run=160 tick=12; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,13,1767483900000000,dio_1g18,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,1.0,1.0,3.0,dio_1g18: run=160 tick=13; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
160,18,1767485400000000,dio_0gmg,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_0gmg: run=160 tick=18; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
161,1,1767480300000000,dio_0cgn,maturation_mixed_recurrence,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,1.0,dio_0cgn: run=161 tick=1; moment_carried; Reife=maturation_mixed_recurrence; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
161,6,1767481800000000,dio_0hd3,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,1.0,1.0,1.0,dio_0hd3: run=161 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
161,11,1767483300000000,dio_1mn2,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_dunkle_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1mn2: run=161 tick=11; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
