symbol_family,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,reward_sum,event_reward_sum,maturation_reward_sum,timeline_sentence,passive_only
dio_0hd3,maturation_stable_carried,1,161,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,SHORT,1.0,1.0,1.0,dio_0hd3: Reife=maturation_stable_carried; Verlauf=moment_carried; reward_sum=1.000000.,1
dio_1g18,maturation_stable_carried,3,"159,160,161",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,SHORT -> SHORT -> SHORT,3.0,3.0,3.0,dio_1g18: Reife=maturation_stable_carried; Verlauf=moment_carried -> moment_carried -> moment_carried; reward_sum=3.000000.,1
dio_0cgn,maturation_mixed_recurrence,3,"159,160,161",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> LONG,1.0,1.0,1.0,dio_0cgn: Reife=maturation_mixed_recurrence; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_carried; reward_sum=1.000000.,1
dio_07rf,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_07rf: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0gmg,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_0gmg: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0izw,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_0izw: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_15ms,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_held,moment_quiet_observed -> moment_quiet_held,multisensory_quiet_observation -> multisensory_quiet_hold,WAIT -> WAIT,0.0,0.0,0.0,dio_15ms: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_held; reward_sum=0.000000.,1
dio_173s,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_173s: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1mn2,maturation_quiet_observation,1,161,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,0.0,0.0,0.0,dio_1mn2: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed; reward_sum=0.000000.,1
dio_1mx2,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_1mx2: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1pfo,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_1pfo: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0x52,maturation_stable_conflicted_burden,2,"159,160",moment_conflicted_burden,moment_conflicted_burden,moment_conflicted_burden -> moment_conflicted_burden,multisensory_conflicted_burden -> multisensory_conflicted_burden,SHORT -> SHORT,-2.0,-2.0,-2.0,dio_0x52: Reife=maturation_stable_conflicted_burden; Verlauf=moment_conflicted_burden -> moment_conflicted_burden; reward_sum=-2.000000.,1
