stability_label,family_count,row_count,reward_sum,event_reward_sum,families,binding_states
multisensory_stable_repeat,14,35,-3.0,-3.0,"dio_04zi,dio_06bd,dio_0fa9,dio_0ojr,dio_0rb2,dio_0ui9,dio_0vc8,dio_1g7l,dio_1jo7,dio_1k0r,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m","multisensory_conflicted_burden,multisensory_quiet_observation"
multisensory_mixed_repeat,1,3,1.0,1.0,dio_0cgn,multisensory_quiet_observation
