inner_map_transition_state,count,avg_score_delta,avg_stability_delta,avg_variation_delta,avg_drift_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
stable_same_inner_state,232,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False
new_in_right_inner_map,61,0.207759563,0.55,0.083103825,0.0,True,False,False,False,False,False,False,False
missing_in_right_inner_map,53,-0.207924529,-0.55,-0.083169812,0.0,True,False,False,False,False,False,False,False
