target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_14mj,dio_14wi,reifende_verwandtschaft,0.017364,0.982636,0.798383,4.496005,1,3,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_14mj,dio_0x52,reifende_verwandtschaft,0.028501,0.971499,0.798383,3.99281,1,3,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_14mj,dio_09jn,reifende_verwandtschaft,0.328191,0.671809,0.798383,2.190568,1,3,7,5,local_observation_to_action,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation"
dio_1tik,dio_0a54,beobachtete_verwandtschaft,0.104724,0.895276,0.0,3.445308,0,4,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0kpn,dio_0nmi,beobachtete_verwandtschaft,0.11504,0.88496,0.0,6.770993,0,4,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2"
dio_0p8l,dio_1d6j,beobachtete_verwandtschaft,0.19935,0.80065,0.0,4.768065,0,3,5,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,order_shift_varianz"
dio_0p8l,dio_0qb3,beobachtete_verwandtschaft,0.250974,0.749026,0.0,5.353388,0,3,9,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_1tik,dio_0nmi,beobachtete_verwandtschaft,0.384794,0.615206,0.0,6.770993,0,4,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2"
dio_1kfx,dio_0x52,beobachtete_verwandtschaft,0.419449,0.580551,0.0,3.99281,0,3,5,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1kfx,dio_14wi,beobachtete_verwandtschaft,0.425069,0.574931,0.0,4.496005,0,3,5,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_1et3,dio_0nmi,beobachtete_verwandtschaft,0.430243,0.569757,0.0,6.770993,0,3,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2"
dio_0kpn,dio_0x52,beobachtete_verwandtschaft,0.443994,0.556006,0.0,3.99281,0,4,5,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0kpn,dio_09jn,beobachtete_verwandtschaft,0.447139,0.552861,0.0,2.190568,0,4,7,5,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation"
dio_0p8l,dio_0nmi,beobachtete_verwandtschaft,0.448832,0.551168,0.0,6.770993,0,3,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2"
dio_1tik,dio_0qb3,beobachtete_verwandtschaft,0.470357,0.529643,0.0,5.353388,0,4,9,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_1kfx,dio_0a54,beobachtete_verwandtschaft,0.477156,0.522844,0.0,3.445308,0,3,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_05pr,dio_0nmi,beobachtete_verwandtschaft,0.500961,0.499039,0.0,6.770993,0,3,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2"
dio_1et3,dio_1d6j,beobachtete_verwandtschaft,0.529095,0.470905,0.0,4.768065,0,3,5,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,order_shift_varianz"
dio_1et3,dio_0a54,beobachtete_verwandtschaft,0.533727,0.466273,0.0,3.445308,0,3,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_05pr,dio_1d6j,beobachtete_verwandtschaft,0.541557,0.458443,0.0,4.768065,0,3,5,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"order_shift,order_shift_varianz"
dio_05pr,dio_0qb3,beobachtete_verwandtschaft,0.579765,0.420235,0.0,5.353388,0,3,9,3,held_observation_pattern,matured_action_pattern,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
