inner_state,symbol_family,contact_quality,count,reward_sum,best_reward_sum,avg_reward,actions,transitions,avg_sehen_form_flow,spread_sehen_form_flow,avg_sehen_form_stability,spread_sehen_form_stability,avg_hoeren_energy_tone,spread_hoeren_energy_tone,avg_fuehlen_mcm_coherence,spread_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,spread_fuehlen_mcm_tension,coherence_note,passive_only
inner_carried,dio_0arw,positive_real_contact,1,1.384854,1.384854,1.384854,LONG,same_inner_state,-0.447325,0.0,0.0,0.0,-0.00536,0.0,0.398499,0.0,0.275533,0.0,getragen_sensorisch_bestaetigt,1
inner_carried,dio_0ems,positive_real_contact,1,1.304587,1.304587,1.304587,LONG,inner_open_observation_to_inner_carried,-0.74987,0.0,1.0,0.0,0.152895,0.0,0.957189,0.0,0.407958,0.0,getragen_sensorisch_bestaetigt,1
inner_carried,dio_1u7v,positive_real_contact,1,0.894392,0.894392,0.894392,SHORT,timeline_start,0.032622,0.0,1.0,0.0,0.039728,0.0,0.988876,0.0,0.040826,0.0,getragen_sensorisch_bestaetigt,1
inner_carried,dio_0bmh,positive_real_contact,1,0.817371,0.817371,0.817371,LONG,inner_open_observation_to_inner_carried,0.362749,0.0,0.0,0.0,0.006519,0.0,0.398175,0.0,0.214685,0.0,getragen_sensorisch_bestaetigt,1
inner_carried,dio_0120,positive_real_contact,1,0.333693,0.333693,0.333693,LONG,inner_open_observation_to_inner_carried,0.606218,0.0,1.0,0.0,0.115901,0.0,0.967548,0.0,0.321409,0.0,getragen_sensorisch_bestaetigt,1
inner_carried,dio_0120,observed_potential,2,0.0,0.667386,0.0,WAIT,inner_open_observation_to_inner_carried,0.606218,0.0,1.0,0.0,0.115901,0.0,0.967548,0.0,0.321409,0.0,hohe_sicht_feld_kohärenz_ohne_handlung,1
inner_carried,dio_0arw,observed_potential,2,0.0,2.769708,0.0,WAIT,same_inner_state,-0.447325,0.0,0.0,0.0,-0.00536,0.0,0.398499,0.0,0.275533,0.0,offen_lesen,1
inner_carried,dio_0bmh,observed_potential,1,0.0,0.817371,0.0,WAIT,inner_open_observation_to_inner_carried,0.362749,0.0,0.0,0.0,0.006519,0.0,0.398175,0.0,0.214685,0.0,offen_lesen,1
inner_carried,dio_0ems,observed_potential,2,0.0,2.609174,0.0,WAIT,inner_open_observation_to_inner_carried,-0.74987,0.0,1.0,0.0,0.152895,0.0,0.957189,0.0,0.407958,0.0,hohe_sicht_feld_kohärenz_ohne_handlung,1
inner_carried,dio_1u7v,observed_potential,3,0.0,2.683176,0.0,WAIT,timeline_start,0.032622,0.0,1.0,0.0,0.039728,0.0,0.988876,0.0,0.040826,0.0,hohe_sicht_feld_kohärenz_ohne_handlung,1
inner_carried,dio_0t0v,negative_real_contact,1,-1.236659,1.036659,-1.236659,SHORT,inner_unfinished_to_inner_carried,0.043335,0.0,-1.0,0.0,-0.093547,0.0,-0.226193,0.0,0.11288,0.0,offen_lesen,1
inner_unfinished,dio_00qb,observed_potential,1,0.0,0.629146,0.0,WAIT,inner_carried_to_inner_unfinished,0.402576,0.0,0.0,0.0,-0.078022,0.0,0.378154,0.0,0.299928,0.0,offen_lesen,1
inner_open_observation,dio_02qu,observed_potential,3,0.0,1.10232,0.0,WAIT,inner_cautious_to_inner_open_observation,0.291659,0.0,0.0,0.0,0.053713,0.0,0.38496,0.0,0.192154,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_0fiy,observed_potential,3,0.0,2.272221,0.0,WAIT,same_inner_state,-0.598073,0.0,0.0,0.0,0.248256,0.0,0.330488,0.0,0.375569,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_0igh,observed_potential,1,0.0,0.324337,0.0,WAIT,inner_carried_to_inner_open_observation,0.694031,0.0,1.0,0.0,0.05354,0.0,0.985009,0.0,0.328817,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_0x1o,observed_potential,2,0.0,2.728016,0.0,WAIT,inner_carried_to_inner_open_observation,-0.06572,0.0,-1.0,0.0,-0.081173,0.0,-0.222728,0.0,0.139017,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_14xc,observed_potential,3,0.0,0.283545,0.0,WAIT,"inner_carried_to_inner_open_observation,same_inner_state",0.822477,0.0,1.0,0.0,0.010545,0.0,0.997047,0.0,0.377032,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_16yc,observed_potential,3,0.0,0.976512,0.0,WAIT,inner_carried_to_inner_open_observation,-0.184859,0.0,-1.0,0.0,0.308365,0.0,-0.286342,0.0,0.287146,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_1g2t,observed_potential,3,0.0,0.439353,0.0,WAIT,same_inner_state,-0.40234,0.0,-0.333333,0.0,0.303705,0.0,0.114963,0.0,0.336808,0.0,offen_beobachtet_potenzial,1
inner_open_observation,dio_1qwp,observed_potential,2,0.0,0.157514,0.0,WAIT,"inner_carried_to_inner_open_observation,same_inner_state",0.846917,0.0,1.0,0.0,0.093873,0.0,0.973715,0.0,0.407434,0.0,offen_beobachtet_potenzial,1
inner_cautious,dio_1vpi,negative_real_contact,3,-1.027449,0.427449,-0.342483,SHORT,inner_open_observation_to_inner_cautious,0.742634,0.0,1.0,0.0,-0.052832,0.0,0.985207,0.0,0.348372,0.0,hohe_sicht_feld_kohärenz_ohne_handlung,1
