inner_state,count,reward_sum,best_reward_sum,avg_reward,families,contact_qualities,avg_sehen_form_flow,spread_sehen_form_flow,avg_sehen_form_stability,spread_sehen_form_stability,avg_hoeren_energy_tone,spread_hoeren_energy_tone,avg_fuehlen_mcm_coherence,spread_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,spread_fuehlen_mcm_tension,passive_only
inner_carried,16,3.498238,15.318371,0.21864,"dio_0120,dio_0arw,dio_0bmh,dio_0ems,dio_0t0v,dio_1u7v","negative_real_contact,observed_potential,positive_real_contact",-0.054601,1.356088,0.5625,2.0,0.054294,0.246442,0.718461,1.215069,0.232516,0.367132,1
inner_open_observation,20,0.0,8.283818,0.0,"dio_02qu,dio_0fiy,dio_0igh,dio_0x1o,dio_14xc,dio_16yc,dio_1g2t,dio_1qwp",observed_potential,0.102151,1.44499,0.0,2.0,0.142635,0.389538,0.355517,1.283389,0.306392,0.268417,1
inner_unfinished,1,0.0,0.629146,0.0,dio_00qb,observed_potential,0.402576,0.0,0.0,0.0,-0.078022,0.0,0.378154,0.0,0.299928,0.0,1
inner_cautious,3,-1.027449,0.427449,-0.342483,dio_1vpi,negative_real_contact,0.742634,0.0,1.0,0.0,-0.052832,0.0,0.985207,0.0,0.348372,0.0,1
