target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_0eh8,dio_0nmi,0.073104,0.926896,1.485504,6.770993,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","order_shift,sensor_relation_probe2",2,4,5,1
dio_0eh8,dio_1tik,0.423838,0.576162,1.485504,3.63996,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",2,8,5,4
dio_0eh8,dio_0wv3,0.433831,0.566169,1.485504,8.862795,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat",2,13,5,3
dio_0szn,dio_0qb3,0.13725,0.86275,2.086161,5.353388,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",3,9,5,3
dio_0szn,dio_1d6j,0.22791,0.77209,2.086161,4.768065,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","order_shift,order_shift_varianz",3,5,5,3
dio_0szn,dio_0nmi,0.434175,0.565825,2.086161,6.770993,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","order_shift,sensor_relation_probe2",3,4,5,1
dio_0wv3,dio_0x52,0.032785,0.967215,8.862795,3.99281,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",13,5,3,3
dio_0wv3,dio_14wi,0.045175,0.954825,8.862795,4.496005,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat",13,5,3,3
dio_0wv3,dio_14mj,0.060046,0.939954,8.862795,7.185447,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",13,9,3,3
dio_14eb,dio_1vm7,0.108066,0.891934,8.524806,3.554517,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",6,3,2,2
dio_14eb,dio_09jn,0.113349,0.886651,8.524806,4.693512,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",6,15,2,5
dio_14eb,dio_0wv3,0.353906,0.646094,8.524806,8.862795,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat","sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat",6,13,2,3
