compare_state,count,reward_delta,episode_delta,before_reward,after_reward,before_episode_count,after_episode_count,families
removed_variant_trace,2,0.0,-4,0.0,0.0,4,0,"dio_19i4:SHORT,dio_1h5y:LONG"
same_variant_state,6,2.0,6,7.0,9.0,12,18,"dio_0lyu:WAIT,dio_0qrm:SHORT,dio_0u8f:LONG,dio_0x52:SHORT,dio_19i4:WAIT,dio_19p6:WAIT"
