inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_conflicted,2,-6.0,8.771947,"dio_0c6o,dio_1k0r",LONG
inner_consequence_quiet,8,0.0,0.0,"dio_0rb2,dio_0vc8,dio_1g7l,dio_1jo7,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m",WAIT
