development_state,family_count,row_count,reward_sum,event_reward_sum,families,maturation_states
development_stable_carried,4,9,9.0,9.0,"dio_02qu,dio_0arw,dio_0t0v,dio_1u7v",maturation_stable_carried
development_observation_to_carried,1,3,1.0,1.0,dio_1vpi,maturation_mixed_recurrence
development_quiet_observation,2,5,0.0,0.0,"dio_00qb,dio_14xc",maturation_quiet_observation
