family,passive_repeat_state,run_count,seen_runs,executed_runs,seen_count,executed_count,observed_potential_count,held_pressure_count,reward_sum,best_reward_sum,actions,states,first_run,last_run,passive_sentence
dio_0arw,repeat_executed_carried,4,4,4,4,4,0,0,5.539416,5.539416,LONG:4,executed_aligned:4,145,148,dio_0arw: wurde in jedem Wiederholungslauf aktiv getragen.
dio_1u7v,repeat_executed_carried,4,4,4,4,4,0,0,3.577568,3.577568,SHORT:4,executed_aligned:4,145,148,dio_1u7v: wurde in jedem Wiederholungslauf aktiv getragen.
dio_0akd,repeat_partly_carried,4,2,2,2,2,0,0,1.551314,1.551314,LONG:2,executed_aligned:2,147,148,dio_0akd: wurde in einem Teil der Wiederholung getragen.
dio_0120,repeat_partly_carried,4,2,2,2,2,0,0,0.667386,0.667386,LONG:2,executed_aligned:2,145,146,dio_0120: wurde in einem Teil der Wiederholung getragen.
dio_14xc,repeat_observed_potential,4,4,0,4,0,4,0,0.0,0.37806,WAIT:4,observed_trade_potential:4,145,148,dio_14xc: kehrt als beobachtetes Handelspotenzial wieder.
dio_00qb,repeat_observed_potential,4,2,0,2,0,2,0,0.0,1.258292,WAIT:2,observed_trade_potential:2,147,148,dio_00qb: kehrt als beobachtetes Handelspotenzial wieder.
dio_02qu,repeat_observed_potential,4,2,0,2,0,2,0,0.0,0.73488,WAIT:2,observed_trade_potential:2,145,146,dio_02qu: kehrt als beobachtetes Handelspotenzial wieder.
dio_0t0v,repeat_observed_potential,4,2,0,2,0,2,0,0.0,2.073318,WAIT:2,observed_trade_potential:2,147,148,dio_0t0v: kehrt als beobachtetes Handelspotenzial wieder.
dio_1vpi,repeat_executed_unresolved,4,4,2,4,2,2,0,-0.684966,0.569932,SHORT:2|WAIT:2,executed_misaligned:2|observed_trade_potential:2,145,148,dio_1vpi: bleibt in der Wiederholung offen.
