run,candles,episodes,trades,waits,long_trades,short_trades,total_reward,avg_reward,unique_symbols,symbol_density,tracked_families,active_trade_families,observation_families,family_compression,actionable_seen,correct_action_when_actionable,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,avg_observation_trade_signal,max_observation_trade_signal,avg_observation_trade_readiness,max_observation_trade_readiness,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,trade_density,raw_trade_pressure,phase_suppressed,compressed_contacts,top_long_family,top_long_trust,top_long_count,top_short_family,top_short_trust,top_short_count,report_path
11,22,16,0,16,0,0,0.0,0.0,16,1.0,8,7,7,0.4375,16,0,0.004427,0.008423,0.063248,0.120335,0.058821,0.111912,0.004427,0.008423,0.0,0.0,0.0,0.0,16,0.060371,0.11486,0.0,0,0,0,dio_0byw,0.97915,6,dio_0n4c,0.474472,4,debug\dio_mini_observation_maturity\rauschen\dio_mini_lauf_11\mini_report.json
12,22,16,0,16,0,0,0.0,0.0,16,1.0,8,7,7,0.4375,16,0,0.01063,0.020653,0.047374,0.068578,0.036743,0.051581,0.01063,0.020653,0.002836,0.010582,0.000312,0.001164,16,0.040464,0.056239,0.0,0,0,0,dio_0byw,0.97915,6,dio_0n4c,0.474472,4,debug\dio_mini_observation_maturity\rauschen\dio_mini_lauf_12\mini_report.json
13,22,9,2,7,1,1,3.084839,0.34276,9,1.0,8,7,7,0.777778,9,2,0.02332,0.062886,0.050343,0.07276,0.027584,0.049264,0.022759,0.062886,0.003497,0.015763,0.000385,0.001734,7,0.038617,0.053398,0.222222,2,0,0,dio_0byw,0.97915,6,dio_0n4c,0.474472,4,debug\dio_mini_observation_maturity\rauschen\dio_mini_lauf_13\mini_report.json
14,22,8,2,6,1,1,2.455283,0.30691,8,1.0,8,7,7,0.875,8,2,0.04979,0.22656,0.056252,0.077333,0.026244,0.044156,0.030009,0.077333,0.003628,0.015763,0.000399,0.001734,6,0.041096,0.051367,0.25,2,0,0,dio_0byw,0.97915,6,dio_1r0h,0.528832,4,debug\dio_mini_observation_maturity\rauschen\dio_mini_lauf_14\mini_report.json
