family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_1r0h,"11,12,13,14",4,1,4,0.25,0,2,2,0,2,0,4,3.275704,0.818926,2,0.08555
dio_0f4h,"11,12,13,14",4,1,4,0.25,1,0,3,1,0,4,0,0.817431,0.204358,3,0.037501
dio_1mml,"11,12,13,14",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.058169
dio_1v23,"11,12,13,14",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.044295
dio_0qb3,"11,12,13,14",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.036137
dio_01nf,"11,12,13,14",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.034277
dio_0nmi,"11,12,13,14",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.045075
dio_1vb3,"11,12,13,14",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.039389
dio_1uez,"11,12,13",3,1,3,0.333333,1,0,2,1,0,3,0,1.446988,0.482329,2,0.038242
dio_0dcm,"11,12",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.078761
dio_1sxo,"11,12",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.065236
dio_0309,"11,12",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.057063
dio_1j78,"11,12",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.06356
dio_0k53,"11,12",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.037905
dio_1tg9,"11,12",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.036509
dio_1rka,"11,12",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.03136
