family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_03fl,40,1,0,0,0,1,0.0,0.003814,0.003814
dio_03fl,41,1,0,0,0,1,0.0,0.00905,0.00905
dio_03fl,42,1,0,0,0,1,0.0,0.025122,0.025122
dio_03fl,43,1,0,1,1,1,0.0,0.049949,0.049949
dio_066x,40,1,0,0,0,1,0.0,0.003489,0.003489
dio_066x,42,1,0,0,0,1,0.0,0.007272,0.007272
dio_066x,43,1,0,0,0,1,0.0,0.017901,0.017901
dio_0iy2,40,1,0,0,0,1,0.0,0.003606,0.003606
dio_0iy2,42,1,0,0,0,1,0.0,0.006182,0.006182
dio_0iy2,43,1,0,0,0,1,0.0,0.01359,0.01359
dio_0mp4,40,1,0,0,0,1,0.0,0.004609,0.004609
dio_0q8z,40,1,0,0,0,1,0.0,0.005213,0.005213
dio_0q8z,41,1,0,0,0,1,0.0,0.017637,0.017637
dio_0r8e,40,1,0,0,0,1,0.0,0.004006,0.004006
dio_151h,40,1,0,0,0,1,0.0,0.004347,0.004347
dio_151h,41,1,0,0,0,1,0.0,0.004546,0.004546
dio_151h,42,1,0,0,0,1,0.0,0.006886,0.006886
dio_151h,43,1,0,0,0,1,0.0,0.010461,0.010461
dio_1d6j,40,1,1,1,0,0,0.906071,0.239811,0.054771
dio_1d6j,41,1,1,1,0,0,0.906071,0.387311,0.055079
dio_1d6j,42,1,1,1,0,0,0.906071,0.4615,0.055898
dio_1d6j,43,1,1,1,0,0,0.906071,0.523523,0.05709
dio_1hkr,40,1,0,0,0,1,0.0,0.003734,0.003734
dio_1hkr,41,1,0,0,0,1,0.0,0.014106,0.014106
dio_1hkr,42,1,0,1,1,1,0.0,0.044504,0.044504
dio_1hkr,43,1,0,1,1,1,0.0,0.091462,0.055656
dio_1ioc,40,1,0,0,0,1,0.0,0.005904,0.005904
dio_1ioc,41,1,0,0,0,1,0.0,0.020868,0.020868
dio_1ioc,42,1,1,1,0,0,1.669852,0.065564,0.065564
dio_1ioc,43,1,1,1,0,0,1.669852,0.232116,0.079776
dio_1sxo,40,1,0,0,0,1,0.0,0.037579,0.037579
dio_1sxo,41,1,1,1,0,0,0.993834,0.076944,0.069375
dio_1ytj,40,1,0,0,0,1,0.0,0.003969,0.003969
dio_1ytj,41,1,0,0,0,1,0.0,0.018264,0.018264
dio_1ytj,42,1,0,1,1,1,0.0,0.059106,0.056572
dio_1ytj,43,1,0,1,1,1,0.0,0.122182,0.058633
