run,tick,timestamp_ms,family,action,entry_price,better_entry_training,entry_improvement_room,reward,trade_readiness,mature_transfer,phase_age,episode_relation
40,8,1767302400000000,dio_1d6j,LONG,97.74,97.54,0.002046,0.906071,0.239811,0.054771,9999,none
41,3,1767300900000000,dio_1sxo,SHORT,99.04,99.2,0.001616,0.993834,0.076944,0.069375,9999,none
41,8,1767302400000000,dio_1d6j,LONG,97.74,97.54,0.002046,0.906071,0.387311,0.055079,5,different_contact
42,1,1767300300000000,dio_1ioc,SHORT,99.82,99.94,0.001202,1.669852,0.065564,0.065564,9999,none
42,8,1767302400000000,dio_1d6j,LONG,97.74,97.54,0.002046,0.906071,0.4615,0.055898,7,different_contact
43,1,1767300300000000,dio_1ioc,SHORT,99.82,99.94,0.001202,1.669852,0.232116,0.079776,9999,none
43,8,1767302400000000,dio_1d6j,LONG,97.74,97.54,0.002046,0.906071,0.523523,0.05709,7,different_contact
