family,count,actions,reward_sum,avg_reward,avg_entry_improvement_room,max_entry_improvement_room
dio_1d6j,4,LONG:4,3.624284,0.906071,0.002046,0.002046
dio_1sxo,1,SHORT:1,0.993834,0.993834,0.001616,0.001616
dio_1ioc,2,SHORT:2,3.339704,1.669852,0.001202,0.001202
