trace_group,field,left_family,right_family,left_value,right_value,abs_delta,trace_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,trace_similarity
sehen,avg_sehen_form_flow,dio_114i,dio_1ytc,0.679731,0.696379,0.016648,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_stability,dio_114i,dio_1ytc,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_change,dio_114i,dio_1ytc,0.162755,0.180985,0.01823,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,__group_summary__,dio_114i,dio_1ytc,,,0.011626,gemeinsame_spur,True,False,False,False,False,False,False,False,0.99892
hoeren,avg_hoeren_energy_tone,dio_114i,dio_1ytc,0.035331,0.038287,0.002956,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,avg_hoeren_energy_shift,dio_114i,dio_1ytc,-0.09,-0.061644,0.028356,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,__group_summary__,dio_114i,dio_1ytc,,,0.015656,gemeinsame_spur,True,False,False,False,False,False,False,False,0.998043
fuehlen_mcm,avg_fuehlen_mcm_coherence,dio_114i,dio_1ytc,0.990107,0.98928,0.000827,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_tension,dio_114i,dio_1ytc,0.326367,0.337517,0.01115,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_asymmetry,dio_114i,dio_1ytc,0.40171,0.42108,0.01937,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,__group_summary__,dio_114i,dio_1ytc,,,0.010449,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999127
zeit_nachhall,avg_mini_recurrence_strength,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_afterimage,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_time_distance,dio_114i,dio_1ytc,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_form_distance,dio_114i,dio_1ytc,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_trust_support,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_caution_support,dio_114i,dio_1ytc,0.72,0.72,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,__group_summary__,dio_114i,dio_1ytc,,,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,1.0
neuro,avg_mini_focus_tone,dio_114i,dio_1ytc,0.693342,0.690996,0.002346,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_trust_tone,dio_114i,dio_1ytc,0.00079,0.000522,0.000268,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_caution_tone,dio_114i,dio_1ytc,0.279633,0.281868,0.002235,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_strain_tone,dio_114i,dio_1ytc,0.253095,0.257564,0.004469,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_relief_tone,dio_114i,dio_1ytc,0.265485,0.262977,0.002508,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_observation_tone,dio_114i,dio_1ytc,0.434303,0.434539,0.000236,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_support,dio_114i,dio_1ytc,0.336264,0.334967,0.001297,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_load,dio_114i,dio_1ytc,0.229339,0.232199,0.00286,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_balance,dio_114i,dio_1ytc,0.106925,0.102768,0.004157,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,__group_summary__,dio_114i,dio_1ytc,,,0.002264,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999959
reflexion,avg_reflection_context_carry,dio_114i,dio_1ytc,0.140504,0.139906,0.000598,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_context_strain,dio_114i,dio_1ytc,0.286372,0.287492,0.00112,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_context_alignment,dio_114i,dio_1ytc,0.735291,0.734773,0.000518,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_world_support,dio_114i,dio_1ytc,0.021385,0.020554,0.000831,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_current_support,dio_114i,dio_1ytc,0.286094,0.285781,0.000313,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,__group_summary__,dio_114i,dio_1ytc,,,0.000676,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999996
reife_kontext,candidate_meaning_preservation_rate,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,candidate_stable_recurrence_rate,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,candidate_variant_capacity_rate,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,candidate_temporal_fragility,dio_114i,dio_1ytc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,__group_summary__,dio_114i,dio_1ytc,,,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,1.0
