family,local_action,local_confirmation,state,confirmation_label,runs,rows,executed_long,executed_short,best_long,best_short,reward_sum,observation_learning_events,avg_observation_pressure,best_support_family,best_support_action,best_support_score,support_matches_local,best_conflict_family,best_conflict_actions,best_conflict_score,phase,support_pair
dio_0nv8,SHORT,0.465048,locally_confirmed,executed_local_confirmation,"15,16,17",3,0,1,0,3,1.826216,2,0.03114,dio_0v36,SHORT,0.98703,1,dio_01nf,SHORT/LONG,0.958927,sensorische_varianz,dio_0nv8<->dio_0v36
dio_0fp8,SHORT,0.367451,locally_confirmed,executed_local_confirmation,"15,16,17,18",4,0,1,0,4,0.796759,3,0.037572,dio_0lt6,SHORT,1.011128,1,dio_0irs,SHORT/LONG,0.557167,sensorische_varianz,dio_0fp8<->dio_0lt6
dio_18iw,SHORT,0.229016,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.050089,dio_0jqv,SHORT,0.898745,1,dio_1j78,SHORT/LONG,0.985895,sensorische_varianz,dio_0jqv<->dio_18iw
dio_1ml8,LONG,0.22749,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.041612,dio_081d,LONG,0.931321,1,dio_1144,LONG/SHORT,0.902951,sensorische_varianz,dio_081d<->dio_1ml8
dio_0rh0,SHORT,0.227477,observed_related,observed_related_potential,"15,16,17,18",4,0,0,0,4,0.0,4,0.041539,dio_00eh,SHORT,0.984568,1,dio_1ieq,SHORT/LONG,0.844794,sensorische_varianz,dio_00eh<->dio_0rh0
dio_07yj,LONG,0.227082,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.039344,dio_1tki,LONG,0.914393,1,dio_13wt,LONG/SHORT,0.869093,sensorische_varianz,dio_07yj<->dio_1tki
dio_0b0d,SHORT,0.227007,observed_related,observed_related_potential,"15,16",2,0,0,0,2,0.0,2,0.03893,dio_074d,SHORT,0.870699,1,dio_1uez,SHORT/LONG,0.787595,sensorische_varianz,dio_074d<->dio_0b0d
dio_0rgr,LONG,0.22662,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.036779,dio_1rka,LONG,0.953992,1,dio_1144,LONG/SHORT,0.574032,sensorische_varianz,dio_0rgr<->dio_1rka
dio_0wsj,LONG,0.226565,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.036471,dio_01nf,LONG,0.983772,1,dio_0vyd,LONG/SHORT,0.940264,sensorische_varianz,dio_01nf<->dio_0wsj
dio_1ieq,LONG,0.226549,observed_related,observed_related_potential,"15,16,17,18",4,0,0,4,0,0.0,4,0.036384,dio_0oio,LONG,0.88871,1,dio_0rh0,LONG/SHORT,0.844794,sensorische_varianz,dio_0oio<->dio_1ieq
dio_0ifl,SHORT,0.226393,observed_related,observed_related_potential,17,1,0,0,0,1,0.0,1,0.035515,dio_0i5m,SHORT,1.000553,1,dio_01nf,SHORT/LONG,0.953949,sensorische_varianz,dio_0i5m<->dio_0ifl
dio_1iuq,SHORT,0.225937,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.032983,dio_19qg,SHORT,0.816291,1,dio_07mf,SHORT/LONG,0.942246,sensorische_varianz,dio_19qg<->dio_1iuq
dio_0i5m,SHORT,0.225566,observed_related,observed_related_potential,"15,16",2,0,0,0,2,0.0,2,0.030922,dio_0ifl,SHORT,1.000553,1,dio_01nf,SHORT/LONG,0.952402,sensorische_varianz,dio_0i5m<->dio_0ifl
dio_1bzs,SHORT,0.225145,observed_related,observed_related_potential,"15,16,17",3,0,0,0,3,0.0,3,0.028583,dio_14zx,SHORT,0.948968,1,dio_1uez,SHORT/LONG,0.68771,sensorische_varianz,dio_14zx<->dio_1bzs
dio_0av4,SHORT,0.224788,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.026599,dio_19qg,SHORT,0.98805,1,dio_07mf,SHORT/LONG,0.639418,sensorische_varianz,dio_0av4<->dio_19qg
dio_1ll4,-,0.0,local_only,unconfirmed,"15,16,17,18",4,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0,sensorische_varianz,-
dio_0byw,LONG,0.67007,locally_confirmed,executed_local_confirmation,"1,2,3,4,5,6",6,4,0,6,0,7.904152,1,0.002331,dio_052z,LONG,1.18744,1,dio_0n4c,LONG/SHORT,1.321475,referenz,dio_052z<->dio_0byw
dio_0lt6,SHORT,0.49903,locally_confirmed,executed_local_confirmation,"1,2,3,4,5,6",6,0,3,0,6,2.130489,3,0.00853,dio_0fp8,SHORT,1.011128,1,dio_0byw,SHORT/LONG,0.63003,referenz,dio_0fp8<->dio_0lt6
dio_14zx,SHORT,0.459745,locally_confirmed,executed_local_confirmation,"1,2,3",3,0,1,0,3,1.782506,2,0.005165,dio_1bzs,SHORT,0.948968,1,dio_1uez,SHORT/LONG,0.808748,referenz,dio_14zx<->dio_1bzs
