inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_carried,5,7.0,22.602473,"dio_0ofo,dio_0ps1,dio_1c6b,dio_1d1z,dio_1k7y","LONG,SHORT"
inner_consequence_burdened,1,-1.0,0.38821,dio_1d3r,LONG
inner_consequence_quiet,11,0.0,0.0,"dio_0120,dio_01vz,dio_040y,dio_10dk,dio_143d,dio_14xc,dio_1c6b,dio_1d1z,dio_1f9y,dio_1m4n,dio_1mym",WAIT
