symbol_family,probe,probe_kipp_state,left_episode_count,right_episode_count,episode_count_delta,left_dominant_best_action,right_dominant_best_action,left_dominant_observation_action,right_dominant_observation_action,best_reward_training_delta,trade_readiness_delta,left_dominant_neuro_tone,right_dominant_neuro_tone,left_dominant_temporal_state,right_dominant_temporal_state,left_avg_best_reward_training,right_avg_best_reward_training,left_avg_trade_readiness,right_avg_trade_readiness,left_avg_fuehlen_mcm_coherence,right_avg_fuehlen_mcm_coherence,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_005k,probe25,probe_trade_readiness_softens,2,2,0,SHORT,SHORT,SHORT,SHORT,0.0,-1.5e-06,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0023745,0.002373,0.279788,0.279162,True,False,False,False,False,False,False,False
dio_005q,probe20,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,4e-06,observation_tone,observation_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.002851,0.002855,0.301981,0.301442,True,False,False,False,False,False,False,False
dio_005q,probe22,probe_neuro_tone_reorganizes,2,2,0,LONG,LONG,LONG,LONG,0.0,1.95e-05,focus_tone,observation_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0142645,0.014284,0.301556,0.301181,True,False,False,False,False,False,False,False
dio_005q,probe24,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,2.9e-05,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0257195,0.0257485,0.309913,0.309387,True,False,False,False,False,False,False,False
dio_00r9,probe23,probe_no_visible_kipp,2,2,0,SHORT,SHORT,SHORT,SHORT,0.0,5e-07,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.002877,0.0028775,0.348855,0.34925,True,False,False,False,False,False,False,False
dio_010h,probe25,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,4.5e-06,observation_tone,observation_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0016775,0.001682,-0.269226,-0.270805,True,False,False,False,False,False,False,False
dio_0120,probe23,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,3e-06,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,0.667373,0.667373,0.0027535,0.0027565,0.952822,0.954928,True,False,False,False,False,False,False,False
dio_015b,probe25,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,5e-07,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.002735,0.0027355,0.291634,0.291741,True,False,False,False,False,False,False,False
dio_01px,probe21,probe_no_visible_kipp,2,2,0,SHORT,SHORT,SHORT,SHORT,0.0,2e-06,observation_tone,observation_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0018685,0.0018705,-0.221233,-0.221425,True,False,False,False,False,False,False,False
dio_01sj,probe26,probe_no_visible_kipp,2,2,0,LONG,LONG,LONG,LONG,0.0,5e-07,focus_tone,focus_tone,temporal_first_contact,temporal_first_contact,1.0,1.0,0.0038615,0.003862,0.905209,0.905623,True,False,False,False,False,False,False,False
