family_temporal_kipp_state,family_count,families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
family_no_visible_temporal_kipp,96,dio_00r9|dio_010h|dio_0120|dio_015b|dio_01px|dio_01sj|dio_02y8|dio_05e5|dio_05xk|dio_065c|dio_06gy|dio_09tm|dio_09u3|dio_0a7t|dio_0bm2|dio_0ce4|dio_0e37|dio_0eq2|dio_0g55|dio_0hlx|dio_0icm|dio_0ipe|dio_0jg9|dio_0jgk|dio_0jp7|dio_0jx1|dio_0kae|dio_0kom|dio_0kw1|dio_0l9d|dio_0lf6|dio_0m7s|dio_0nki|dio_0nmw|dio_0nrp|dio_0ocv|dio_0qcz|dio_0qjm|dio_0r90|dio_0rt8,True,False,False,False,False,False,False,False
family_trade_readiness_softens,86,dio_005k|dio_01w7|dio_02rt|dio_06b8|dio_06jl|dio_07mb|dio_09ow|dio_0avw|dio_0azl|dio_0cxr|dio_0eeh|dio_0ehw|dio_0fsp|dio_0haj|dio_0hl8|dio_0i4h|dio_0irs|dio_0j34|dio_0j8d|dio_0k0f|dio_0ksa|dio_0m9e|dio_0ngs|dio_0ni1|dio_0o73|dio_0ocp|dio_0omt|dio_0pni|dio_0q3v|dio_0q96|dio_0qfc|dio_0r61|dio_0r8l|dio_0t61|dio_0t8k|dio_0udt|dio_0w8h|dio_0zkk|dio_101r|dio_108f,True,False,False,False,False,False,False,False
family_loses_lived_support,30,dio_03sc|dio_05ws|dio_07t9|dio_091t|dio_0dos|dio_0g2u|dio_0ic6|dio_0iou|dio_0lrt|dio_0scd|dio_0yk9|dio_0zq7|dio_10qz|dio_1204|dio_14ud|dio_16kq|dio_19bg|dio_19p7|dio_1gsg|dio_1m7i|dio_1mrs|dio_1mwc|dio_1qs4|dio_1s9i|dio_1si6|dio_1tjm|dio_1tsz|dio_1wgb|dio_1xka|dio_1yob,True,False,False,False,False,False,False,False
family_best_reward_softens,28,dio_0325|dio_05cu|dio_07lp|dio_080e|dio_0b2b|dio_0bde|dio_0e02|dio_0ft4|dio_0gmg|dio_0ink|dio_0nvd|dio_0r29|dio_0t27|dio_0w16|dio_0w4x|dio_0z2v|dio_0zmy|dio_10q6|dio_155k|dio_171c|dio_17ny|dio_1f9y|dio_1fz7|dio_1gwl|dio_1q4u|dio_1qyi|dio_1vz0|dio_1ytc,True,False,False,False,False,False,False,False
family_neuro_temporal_reorganizes,6,dio_005q|dio_07mw|dio_1dl4|dio_1jba|dio_1p8y|dio_1pel,True,False,False,False,False,False,False,False
family_has_direction_flip,1,dio_1k9e,True,False,False,False,False,False,False,False
