symbol_family,family_temporal_kipp_state,first_kipp_probe,first_kipp_state,probe_state_path,direction_support_state,alignment_state,left_text_island_symbol,right_text_island_symbol,score_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0325,family_best_reward_softens,probe24,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1x39ndk,dio_text_1x39ndk,0.0,True,False,False,False,False,False,False,False
dio_05cu,family_best_reward_softens,probe23,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1basglz,dio_text_1basglz,0.0,True,False,False,False,False,False,False,False
dio_07lp,family_best_reward_softens,probe21,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_zbbclx,dio_text_zbbclx,0.0,True,False,False,False,False,False,False,False
dio_080e,family_best_reward_softens,probe25,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_12o9nwj,dio_text_12o9nwj,0.0,True,False,False,False,False,False,False,False
dio_0b2b,family_best_reward_softens,probe23,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_uaq1vy,dio_text_uaq1vy,0.0,True,False,False,False,False,False,False,False
dio_0bde,family_best_reward_softens,probe22,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_wgwxxp,dio_text_wgwxxp,0.0,True,False,False,False,False,False,False,False
dio_0e02,family_best_reward_softens,probe23,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_uvzu2h,dio_text_uvzu2h,0.0,True,False,False,False,False,False,False,False
dio_0ft4,family_best_reward_softens,probe25,probe_best_reward_softens,probe_best_reward_softens -> probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1udw1m6,dio_text_1udw1m6,0.0,True,False,False,False,False,False,False,False
dio_0gmg,family_best_reward_softens,probe20,probe_best_reward_softens,probe_best_reward_softens -> probe_best_reward_softens -> probe_best_reward_softens -> probe_trade_readiness_softens -> probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1y79hw9,dio_text_1y79hw9,0.0,True,False,False,False,False,False,False,False
dio_0ink,family_best_reward_softens,probe26,probe_best_reward_softens,probe_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_14vy8i0,dio_text_14vy8i0,0.0,True,False,False,False,False,False,False,False
