family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_1uyk,4,56,59,2,2,0,2,2.46987,0.173001,0.071928,observation_to_execution
dio_060l,4,56,59,1,3,0,1,1.190707,0.096467,0.06317,observation_to_execution
dio_0qb3,4,56,59,1,3,0,1,0.576544,0.080759,0.064975,observation_to_execution
dio_1ax9,3,56,58,1,2,0,1,1.237693,0.048781,0.048781,observation_to_execution
dio_0nmi,3,56,58,3,0,0,3,4.770993,0.715588,0.069979,persistent_execution
dio_0oqk,4,56,59,0,4,0,0,0.0,0.033484,0.033484,stable_observation
dio_1iwb,4,56,59,0,4,0,0,0.0,0.026406,0.026406,stable_observation
dio_1on4,4,56,59,0,4,0,0,0.0,0.027804,0.027804,stable_observation
dio_15r2,3,56,58,0,3,0,0,0.0,0.045661,0.045661,stable_observation
dio_00t3,2,56,57,0,2,0,0,0.0,0.011218,0.011218,stable_observation
dio_01nr,2,56,57,0,2,0,0,0.0,0.014357,0.014357,stable_observation
dio_01ql,2,56,57,0,2,0,0,0.0,0.004113,0.004113,stable_observation
dio_14ch,2,56,57,0,2,0,0,0.0,0.00755,0.00755,stable_observation
dio_1c48,2,58,59,0,2,0,0,0.0,0.014323,0.014323,stable_observation
dio_1ce7,2,56,57,0,2,0,0,0.0,0.014208,0.014208,stable_observation
dio_1fcl,2,56,57,0,2,0,0,0.0,0.014809,0.014809,stable_observation
dio_0789,1,59,59,0,1,0,0,0.0,0.004254,0.004254,stable_observation
dio_1mic,1,59,59,0,1,0,0,0.0,0.003916,0.003916,stable_observation
