family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_00t3,56,1,0,0,0,1,0.0,0.00517,0.00517
dio_00t3,57,1,0,0,0,1,0.0,0.011218,0.011218
dio_01nr,56,1,0,0,0,1,0.0,0.004029,0.004029
dio_01nr,57,1,0,0,0,1,0.0,0.014357,0.014357
dio_01ql,56,1,0,0,0,1,0.0,0.004113,0.004113
dio_01ql,57,1,0,0,0,1,0.0,0.003927,0.003927
dio_060l,56,1,0,0,0,1,0.0,0.0043,0.0043
dio_060l,57,1,0,0,0,1,0.0,0.015727,0.015727
dio_060l,58,1,0,0,0,1,0.0,0.047435,0.047435
dio_060l,59,1,1,1,0,0,1.190707,0.096467,0.06317
dio_0789,59,1,0,0,0,1,0.0,0.004254,0.004254
dio_0nmi,56,1,1,1,0,0,1.590331,0.391038,0.0667
dio_0nmi,57,1,1,1,0,0,1.590331,0.567738,0.067432
dio_0nmi,58,1,1,1,0,0,1.590331,0.715588,0.069979
dio_0oqk,56,1,0,0,0,1,0.0,0.004317,0.004317
dio_0oqk,57,1,0,0,0,1,0.0,0.007871,0.007871
dio_0oqk,58,1,0,0,0,1,0.0,0.01796,0.01796
dio_0oqk,59,1,0,0,0,1,0.0,0.033484,0.033484
dio_0qb3,56,1,0,0,0,1,0.0,0.006812,0.006812
dio_0qb3,57,1,0,0,0,1,0.0,0.03413,0.03413
dio_0qb3,58,1,0,0,0,1,0.0,0.058575,0.058575
dio_0qb3,59,1,1,1,0,0,0.576544,0.080759,0.064975
dio_14ch,56,1,0,0,0,1,0.0,0.004685,0.004685
dio_14ch,57,1,0,0,0,1,0.0,0.00755,0.00755
dio_15r2,56,1,0,0,0,1,0.0,0.004368,0.004368
dio_15r2,57,1,0,0,0,1,0.0,0.015313,0.015313
dio_15r2,58,1,0,0,0,1,0.0,0.045661,0.045661
dio_1ax9,56,1,0,0,0,1,0.0,0.004253,0.004253
dio_1ax9,57,1,0,0,0,1,0.0,0.015794,0.015794
dio_1ax9,58,1,1,1,0,0,1.237693,0.048781,0.048781
dio_1c48,58,1,0,0,0,1,0.0,0.004398,0.004398
dio_1c48,59,1,0,0,0,1,0.0,0.014323,0.014323
dio_1ce7,56,1,0,0,0,1,0.0,0.004392,0.004392
dio_1ce7,57,1,0,0,0,1,0.0,0.014208,0.014208
dio_1fcl,56,1,0,0,0,1,0.0,0.00509,0.00509
dio_1fcl,57,1,0,0,0,1,0.0,0.014809,0.014809
dio_1iwb,56,1,0,0,0,1,0.0,0.003785,0.003785
dio_1iwb,57,1,0,0,0,1,0.0,0.00618,0.00618
dio_1iwb,58,1,0,0,0,1,0.0,0.014175,0.014175
dio_1iwb,59,1,0,0,0,1,0.0,0.026406,0.026406
dio_1mic,59,1,0,0,0,1,0.0,0.003916,0.003916
dio_1on4,56,1,0,0,0,1,0.0,0.004039,0.004039
dio_1on4,57,1,0,0,0,1,0.0,0.006879,0.006879
dio_1on4,58,1,0,0,0,1,0.0,0.015116,0.015116
dio_1on4,59,1,0,0,0,1,0.0,0.027804,0.027804
dio_1uyk,56,1,0,0,0,1,0.0,0.00529,0.00529
dio_1uyk,57,1,0,0,0,1,0.0,0.016886,0.016886
dio_1uyk,58,1,1,1,0,0,1.234935,0.049857,0.049857
dio_1uyk,59,1,1,1,0,0,1.234935,0.173001,0.071928
