text_island_symbol,dominant_trajectory_state,last_trajectory_state,observations,last_family_change_state,last_score_delta,last_max_drift_pressure,passive_affordance,memory_note,first_seen_source,last_seen_source,last_state_path,last_maturity_path,last_score_path,trajectory_counts,history,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_1h5am86,core_to_drift_reorganization,core_to_drift_reorganization,1,family_basis_thinned,-0.092620466,0.2,can_preserve_core_drift_warning,"dio_text_1h5am86: core_to_drift_reorganization; observations=1; last_path=inner_variation_bearing_space -> inner_variation_bearing_space -> inner_drift_watch_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_variation_bearing_space -> inner_variation_bearing_space -> inner_drift_watch_space,variant_resilient_text_island -> variant_resilient_text_island -> drifting_unstable_text_island,0.664226 -> 0.705443 -> 0.571605,{'core_to_drift_reorganization': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'core_to_drift_reorganization', 'family_change_state': 'family_basis_thinned', 'state_path': 'inner_variation_bearing_space -> inner_variation_bearing_space -> inner_drift_watch_space', 'maturity_path': 'variant_resilient_text_island -> variant_resilient_text_island -> drifting_unstable_text_island', 'score_path': '0.664226 -> 0.705443 -> 0.571605', 'family_count_path': '3 -> 4 -> 1', 'score_delta': -0.092620466, 'max_drift_pressure': 0.2, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_1nxyi3d,core_to_drift_reorganization,core_to_drift_reorganization,1,family_basis_thinned,-0.1331778,0.25,can_preserve_core_drift_warning,"dio_text_1nxyi3d: core_to_drift_reorganization; observations=1; last_path=inner_variation_bearing_space -> inner_variation_bearing_space -> inner_drift_watch_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_variation_bearing_space -> inner_variation_bearing_space -> inner_drift_watch_space,variant_resilient_text_island -> variant_resilient_text_island -> drifting_unstable_text_island,0.664200 -> 0.664200 -> 0.531022,{'core_to_drift_reorganization': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'core_to_drift_reorganization', 'family_change_state': 'family_basis_thinned', 'state_path': 'inner_variation_bearing_space -> inner_variation_bearing_space -> inner_drift_watch_space', 'maturity_path': 'variant_resilient_text_island -> variant_resilient_text_island -> drifting_unstable_text_island', 'score_path': '0.664200 -> 0.664200 -> 0.531022', 'family_count_path': '5 -> 5 -> 1', 'score_delta': -0.1331778, 'max_drift_pressure': 0.25, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_1ccct8g,core_to_soft_variation,core_to_soft_variation,1,family_basis_replaced,0.077544534,0.25,can_preserve_passive_reorganization_trace,"dio_text_1ccct8g: core_to_soft_variation; observations=1; last_path=inner_stable_recurrence_space -> inner_soft_variation_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_stable_recurrence_space -> inner_soft_variation_space -> inner_soft_variation_space,stable_recurrent_text_island -> variant_resilient_text_island -> variant_resilient_text_island,0.476205 -> 0.614831 -> 0.553750,{'core_to_soft_variation': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'core_to_soft_variation', 'family_change_state': 'family_basis_replaced', 'state_path': 'inner_stable_recurrence_space -> inner_soft_variation_space -> inner_soft_variation_space', 'maturity_path': 'stable_recurrent_text_island -> variant_resilient_text_island -> variant_resilient_text_island', 'score_path': '0.476205 -> 0.614831 -> 0.553750', 'family_count_path': '1 -> 4 -> 1', 'score_delta': 0.077544534, 'max_drift_pressure': 0.25, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_1l453hl,late_text_island_emergence,late_text_island_emergence,1,family_basis_reorganized_near,0.495068867,0.0,can_preserve_late_emergence,"dio_text_1l453hl: late_text_island_emergence; observations=1; last_path=absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space,absent -> new_unconfirmed_text_island -> variant_resilient_text_island,0.000000 -> 0.240000 -> 0.495069,{'late_text_island_emergence': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'late_text_island_emergence', 'family_change_state': 'family_basis_reorganized_near', 'state_path': 'absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space', 'maturity_path': 'absent -> new_unconfirmed_text_island -> variant_resilient_text_island', 'score_path': '0.000000 -> 0.240000 -> 0.495069', 'family_count_path': '0 -> 6 -> 5', 'score_delta': 0.495068867, 'max_drift_pressure': 0.0, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_1u9hanc,late_text_island_emergence,late_text_island_emergence,1,family_basis_expanded,0.422969467,0.0,can_preserve_late_emergence,"dio_text_1u9hanc: late_text_island_emergence; observations=1; last_path=absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space,absent -> new_unconfirmed_text_island -> variant_resilient_text_island,0.000000 -> 0.206667 -> 0.422969,{'late_text_island_emergence': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'late_text_island_emergence', 'family_change_state': 'family_basis_expanded', 'state_path': 'absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space', 'maturity_path': 'absent -> new_unconfirmed_text_island -> variant_resilient_text_island', 'score_path': '0.000000 -> 0.206667 -> 0.422969', 'family_count_path': '0 -> 1 -> 5', 'score_delta': 0.422969467, 'max_drift_pressure': 0.0, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_1vv65rs,late_text_island_emergence,late_text_island_emergence,1,family_basis_fragmented,0.466619867,0.0,can_preserve_late_emergence,"dio_text_1vv65rs: late_text_island_emergence; observations=1; last_path=absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space,absent -> new_unconfirmed_text_island -> variant_resilient_text_island,0.000000 -> 0.226667 -> 0.466620,{'late_text_island_emergence': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'late_text_island_emergence', 'family_change_state': 'family_basis_fragmented', 'state_path': 'absent -> inner_unconfirmed_raw_space -> inner_soft_variation_space', 'maturity_path': 'absent -> new_unconfirmed_text_island -> variant_resilient_text_island', 'score_path': '0.000000 -> 0.226667 -> 0.466620', 'family_count_path': '0 -> 4 -> 2', 'score_delta': 0.466619867, 'max_drift_pressure': 0.0, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_123xt6i,mixed_reorganization_history,mixed_reorganization_history,1,family_basis_fragmented,0.2910816,0.333333333,can_preserve_passive_reorganization_trace,"dio_text_123xt6i: mixed_reorganization_history; observations=1; last_path=inner_unconfirmed_raw_space -> inner_soft_variation_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_unconfirmed_raw_space -> inner_soft_variation_space -> inner_soft_variation_space,new_unconfirmed_text_island -> variant_resilient_text_island -> variant_resilient_text_island,0.220000 -> 0.494415 -> 0.511082,{'mixed_reorganization_history': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'mixed_reorganization_history', 'family_change_state': 'family_basis_fragmented', 'state_path': 'inner_unconfirmed_raw_space -> inner_soft_variation_space -> inner_soft_variation_space', 'maturity_path': 'new_unconfirmed_text_island -> variant_resilient_text_island -> variant_resilient_text_island', 'score_path': '0.220000 -> 0.494415 -> 0.511082', 'family_count_path': '3 -> 6 -> 2', 'score_delta': 0.2910816, 'max_drift_pressure': 0.333333333, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_142qoco,mixed_reorganization_history,mixed_reorganization_history,1,family_basis_expanded,0.2723256,0.0,can_preserve_passive_reorganization_trace,"dio_text_142qoco: mixed_reorganization_history; observations=1; last_path=inner_unconfirmed_raw_space -> inner_soft_variation_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_unconfirmed_raw_space -> inner_soft_variation_space -> inner_soft_variation_space,new_unconfirmed_text_island -> variant_resilient_text_island -> variant_resilient_text_island,0.213333 -> 0.485659 -> 0.485659,{'mixed_reorganization_history': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'mixed_reorganization_history', 'family_change_state': 'family_basis_expanded', 'state_path': 'inner_unconfirmed_raw_space -> inner_soft_variation_space -> inner_soft_variation_space', 'maturity_path': 'new_unconfirmed_text_island -> variant_resilient_text_island -> variant_resilient_text_island', 'score_path': '0.213333 -> 0.485659 -> 0.485659', 'family_count_path': '2 -> 6 -> 6', 'score_delta': 0.2723256, 'max_drift_pressure': 0.0, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_183mg8v,mixed_reorganization_history,mixed_reorganization_history,1,family_basis_thinned,0.2609072,0.5,can_preserve_passive_reorganization_trace,"dio_text_183mg8v: mixed_reorganization_history; observations=1; last_path=inner_unconfirmed_raw_space -> inner_drift_watch_space -> inner_soft_variation_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_unconfirmed_raw_space -> inner_drift_watch_space -> inner_soft_variation_space,new_unconfirmed_text_island -> new_unconfirmed_text_island -> variant_resilient_text_island,0.213333 -> 0.230907 -> 0.474241,{'mixed_reorganization_history': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'mixed_reorganization_history', 'family_change_state': 'family_basis_thinned', 'state_path': 'inner_unconfirmed_raw_space -> inner_drift_watch_space -> inner_soft_variation_space', 'maturity_path': 'new_unconfirmed_text_island -> new_unconfirmed_text_island -> variant_resilient_text_island', 'score_path': '0.213333 -> 0.230907 -> 0.474241', 'family_count_path': '2 -> 1 -> 1', 'score_delta': 0.2609072, 'max_drift_pressure': 0.5, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
dio_text_1big7bt,mixed_reorganization_history,mixed_reorganization_history,1,family_basis_thinned,-0.002796867,0.5,can_preserve_passive_reorganization_trace,"dio_text_1big7bt: mixed_reorganization_history; observations=1; last_path=inner_unconfirmed_raw_space -> inner_drift_watch_space -> inner_drift_watch_space; passiv, keine Handlung.",C_D_E_text_island_reorganization_history,C_D_E_text_island_reorganization_history,inner_unconfirmed_raw_space -> inner_drift_watch_space -> inner_drift_watch_space,new_unconfirmed_text_island -> new_unconfirmed_text_island -> new_unconfirmed_text_island,0.226667 -> 0.223870 -> 0.223870,{'mixed_reorganization_history': 1},"[{'source_label': 'C_D_E_text_island_reorganization_history', 'trajectory_state': 'mixed_reorganization_history', 'family_change_state': 'family_basis_thinned', 'state_path': 'inner_unconfirmed_raw_space -> inner_drift_watch_space -> inner_drift_watch_space', 'maturity_path': 'new_unconfirmed_text_island -> new_unconfirmed_text_island -> new_unconfirmed_text_island', 'score_path': '0.226667 -> 0.223870 -> 0.223870', 'family_count_path': '4 -> 1 -> 1', 'score_delta': -0.002796867, 'max_drift_pressure': 0.5, 'timestamp': 1780784649}]",True,False,False,False,False,False,False,False
