emergence_reading,family_count,families,passive_only,influences_action
stable_form_field_direction_candidate,20,dio_0120|dio_07rf|dio_0akd|dio_0eh8|dio_0gmg|dio_0hd3|dio_0izw|dio_0qze|dio_0szn|dio_0u1i|dio_12jm|dio_14jl|dio_15ms|dio_173s|dio_199c|dio_1g18|dio_1guc|dio_1gxl|dio_1pfo|dio_1wie,True,False
emergence_candidate_form_field_without_direction,2,dio_0cgn|dio_0x52,True,False
