tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767600300000000,dio_1u7v0v3,dio_1u7v,SHORT,SHORT,0,1.000000,9999,0.000000,1.000000,none,SHORT,1.000000,0.894392,1.000000,TP,1.000000,0.002934,102.24000000,101.94000000,102.54000000,101.94000000,1,102.32000000,0.000782,0.013056,-0.056791,1.297634,-0.009471,0.002845,0.002360,0.022527,0.071618,0.000000,0.049523,0.000000,0.022095,0.000000,0.000000,0.005242,0.832730,0.000000,0.011982,1.295274,0.000000,0.074886,0.084767,0.000000,0.000000,0.010056,0.000000,0.000000,0.001106,0.832730,0.084767,0.010056,0.001106,0.000000,0.084767,-,0.000000,0.032622,1.000000,0.065244,0.039728,0.133333,0.988876,0.040826,0.060594
6,1767601800000000,dio_0arws0q,dio_0arw,LONG,LONG,0,0.400801,5,0.000000,1.000000,different_contact,LONG,1.000000,1.384854,1.000000,TP,1.000000,0.006652,101.02000000,101.69200000,100.34800000,101.69200000,2,100.82000000,0.001980,0.015089,1.462326,-0.068836,-0.002767,-0.000999,-0.001543,0.017857,0.000000,0.076172,0.000000,0.049957,0.000000,0.026215,0.000000,0.936519,0.003885,0.000000,1.463326,0.008879,0.000000,0.078693,0.055493,0.000000,0.009185,0.000000,0.000000,0.001010,0.000000,0.936519,0.078693,0.009185,0.001010,0.000000,0.078693,-,0.000000,-0.447325,0.000000,0.533785,-0.005360,-0.059524,0.398499,0.275533,-0.134298
11,1767603300000000,dio_14xcnvd,dio_14xc,WAIT,LONG,1,0.536011,5,0.536231,0.213858,same_episode,LONG,0.000000,0.000000,0.312500,NO_TRADE,0.000000,0.000000,102.82000000,102.82000000,102.82000000,102.82000000,0,102.82000000,0.000000,0.048523,0.124315,-0.056832,-0.007415,0.004318,0.001218,0.055937,0.022311,0.071500,0.022311,0.049317,0.000000,0.022183,0.000000,0.090278,0.005884,0.000000,0.142308,0.013450,0.000000,0.061153,0.084060,0.000000,0.003591,0.000000,0.000000,0.000395,0.000000,0.090278,0.084060,0.003591,0.000395,0.000000,0.084060,LONG,0.029421,0.822477,1.000000,-0.169765,0.010545,-0.130208,0.997047,0.377032,0.393802
12,1767603600000000,dio_1vpirj0,dio_1vpi,SHORT,SHORT,0,0.506345,6,0.000000,1.000000,different_contact,SHORT,1.000000,-0.342483,1.000000,TP,1.000000,0.007565,103.10000000,102.32000000,103.88000000,102.32000000,3,103.62000000,0.005044,0.032438,0.053195,0.682439,-0.007765,0.004492,0.001331,0.040202,0.034571,0.000000,0.034571,0.000000,0.000000,0.000000,0.000000,0.051967,0.439946,0.000000,0.083274,0.681108,0.000000,0.063415,0.083280,0.000000,0.002507,0.015160,0.000000,0.000276,0.001668,0.439946,0.083280,0.015160,0.001668,0.000000,0.083280,-,0.000000,0.742634,1.000000,-0.089228,-0.052832,-0.076923,0.985207,0.348372,0.379076
17,1767605100000000,dio_02qut94,dio_02qu,LONG,LONG,0,0.373878,5,0.000000,1.000000,different_contact,LONG,1.000000,0.367440,1.000000,TP,1.000000,0.006499,103.40000000,104.07200000,102.72800000,104.07200000,2,103.18000000,0.002128,0.036650,0.667084,-0.063445,-0.003997,0.002772,0.000777,0.040647,0.000000,0.074163,0.000000,0.049808,0.000000,0.024355,0.000000,0.430062,0.004349,0.000000,0.664313,0.009941,0.000000,0.075543,0.062130,0.000000,0.005215,0.000000,0.000000,0.000574,0.000000,0.430062,0.075543,0.005215,0.000574,0.000000,0.075543,-,0.000000,0.291659,0.000000,0.294360,0.053713,0.089286,0.384960,0.192154,0.251832
