world,debug_root,memory_observations,memory_mean_avg_carry,memory_mean_avg_carried_cos,memory_best_max_carry,memory_best_max_carried_cos,memory_last_positive_carried_cos_family_count,memory_last_avg_readiness,episodes,families,trades,tp,sl,wait,reward_sum,tone_counts,reflection_context_counts,avg_trade_readiness,max_trade_readiness,avg_observation_trade_readiness,max_observation_trade_readiness,avg_observation_learning_pressure,max_observation_learning_pressure,avg_mini_neuro_balance,max_mini_neuro_balance,avg_mini_neuro_support,max_mini_neuro_support,avg_mini_neuro_load,max_mini_neuro_load,avg_mini_temporal_trust_support,max_mini_temporal_trust_support,avg_mini_temporal_caution_support,max_mini_temporal_caution_support,avg_reflection_context_carry,max_reflection_context_carry,avg_reflection_context_strain,max_reflection_context_strain,avg_reflection_context_alignment,max_reflection_context_alignment
probe17,debug\dio_mini_reflection_context_check_probe17,1,0.178789,0.27429,0.280315,0.995038,11,0.021341,18,18,1,1,0,17,1.0,"{""focus_tone"": 11, ""observation_tone"": 6, ""relief_tone"": 1}","{""reflection_context_carried"": 2, ""reflection_context_cautious"": 16}",0.066554,0.611535,0.035938,0.066266,0.400534,0.638474,0.086727,0.327878,0.297912,0.534589,0.211184,0.251947,0.0,0.0,0.72,0.72,0.212922,0.315363,0.261039,0.278237,0.932986,0.989387
conflict16,debug\dio_mini_reflection_context_check_conflict16,1,0.1344,-0.041084,0.260199,0.794854,7,0.015053,18,17,0,0,0,18,0.0,"{""focus_tone"": 10, ""observation_tone"": 8}","{""reflection_context_cautious"": 18}",0.010245,0.018219,0.010095,0.017597,0.385668,0.639961,0.071611,0.303825,0.278485,0.40566,0.206874,0.2732,0.033839,0.609107,0.683077,0.72,0.132943,0.180605,0.29671,0.318605,0.871998,0.935461
