summary_group,state,count,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,stable_families,all_families
lineage,seen_count,2,,True,False,False,False,False,False,False,False,,
lineage,score_delta_first_last,,-0.002179733,True,False,False,False,False,False,False,False,,
lineage,family_stability,,0.333333333,True,False,False,False,False,False,False,False,dio_1og2,dio_0a6g|dio_14ls|dio_1og2
