run,candles,episodes,trades,waits,long_trades,short_trades,total_reward,avg_reward,unique_symbols,actionable_seen,correct_action_when_actionable,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,trade_density,raw_trade_pressure,phase_suppressed,compressed_contacts,top_long_family,top_long_trust,top_long_count,top_short_family,top_short_trust,top_short_count,report_path
11,22,16,0,16,0,0,0.0,0.0,16,16,0,0.004427,0.008423,0.063248,0.120335,0.058821,0.111912,0.004427,0.008423,16,0.060371,0.11486,0.0,0,0,0,dio_0byw,0.97915,6,dio_0n4c,0.474472,4,debug\dio_mini_observation_transfer\rauschen\dio_mini_lauf_11\mini_report.json
12,22,16,0,16,0,0,0.0,0.0,16,16,0,0.010319,0.020145,0.047374,0.068578,0.037055,0.051676,0.010319,0.020145,16,0.040667,0.056996,0.0,0,0,0,dio_0byw,0.97915,6,dio_0n4c,0.474472,4,debug\dio_mini_observation_transfer\rauschen\dio_mini_lauf_12\mini_report.json
13,22,9,2,7,1,1,3.084839,0.34276,9,9,2,0.022935,0.061152,0.050343,0.07276,0.027892,0.049428,0.022451,0.061152,7,0.038714,0.053505,0.222222,2,0,0,dio_0byw,0.97915,6,dio_0n4c,0.474472,4,debug\dio_mini_observation_transfer\rauschen\dio_mini_lauf_13\mini_report.json
14,22,8,2,6,1,1,2.455283,0.30691,8,8,2,0.049391,0.224826,0.056252,0.077333,0.026355,0.044388,0.029897,0.077333,6,0.041192,0.051519,0.25,2,0,0,dio_0byw,0.97915,6,dio_1r0h,0.528832,4,debug\dio_mini_observation_transfer\rauschen\dio_mini_lauf_14\mini_report.json
