family,anchor_lupe_state,cross_lupe_state,left_dominant_category,right_dominant_category,left_count,right_count,left_avg_score,right_avg_score,score_delta_right_minus_left,same_text_island,left_text_islands,right_text_islands,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_06b8,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,stable_core,1,1,0.206666667,0.482387133,0.275720466,True,dio_text_1mdfmx0,dio_text_1mdfmx0,True,False,False,False,False,False,False,False
dio_1fz7,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,stable_core,1,1,0.206666667,0.482387133,0.275720466,True,dio_text_53xiik,dio_text_53xiik,True,False,False,False,False,False,False,False
dio_1ndv,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,stable_core,1,1,0.206666667,0.482387133,0.275720466,True,dio_text_1tpco55,dio_text_1tpco55,True,False,False,False,False,False,False,False
dio_1vg2,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,soft_variation_space,1,1,0.213333333,0.469204467,0.255871134,True,dio_text_1vxdbk5,dio_text_1vxdbk5,True,False,False,False,False,False,False,False
dio_0jx1,category_shift_anchor,recurrent_category_shift_family,stable_core,soft_variation_space,1,1,0.4887576,0.469175667,-0.019581933,True,dio_text_mpbutk,dio_text_mpbutk,True,False,False,False,False,False,False,False
dio_1ekr,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,soft_variation_space,1,1,0.206666667,0.391925333,0.185258666,True,dio_text_1mvaeuf,dio_text_1mvaeuf,True,False,False,False,False,False,False,False
dio_1im7,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,soft_variation_space,1,1,0.206666667,0.3903996,0.183732933,True,dio_text_pt4dv2,dio_text_pt4dv2,True,False,False,False,False,False,False,False
dio_0q96,category_shift_anchor,recurrent_category_shift_family,stable_core,soft_variation_space,1,1,0.482839133,0.386783467,-0.096055666,True,dio_text_sagras,dio_text_sagras,True,False,False,False,False,False,False,False
dio_0ksa,category_shift_anchor,recurrent_category_shift_family,stable_core,soft_variation_space,1,1,0.482839133,0.386772667,-0.096066466,True,dio_text_sg6q7d,dio_text_sg6q7d,True,False,False,False,False,False,False,False
dio_005q,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.386205867,-0.096633266,True,dio_text_1qox452,dio_text_1qox452,True,False,False,False,False,False,False,False
dio_1ytc,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.3768678,-0.105971333,True,dio_text_1j0fpv7,dio_text_1j0fpv7,True,False,False,False,False,False,False,False
dio_108f,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,2,0.482839133,0.3409023,-0.141936833,False,dio_text_wmjdu3,dio_text_jwkf1a|dio_text_wmjdu3,True,False,False,False,False,False,False,False
dio_1jgc,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,2,0.482839133,0.339726333,-0.143112799,False,dio_text_16qwab5,dio_text_16qwab5|dio_text_1ne15hk,True,False,False,False,False,False,False,False
dio_09u3,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,2,0.5004744,0.318533134,-0.181941266,False,dio_text_10zhe22,dio_text_1vfcwaq|dio_text_pt4dv2,True,False,False,False,False,False,False,False
dio_07bo,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_0bkt,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_0j6l,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_16qb,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_17ud,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_19rg,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_1fbp,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_1ka9,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_1nvu,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.521313333,0.28,-0.241313333,False,dio_text_1orwsh,dio_text_axk913,True,False,False,False,False,False,False,False
dio_00fq,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_05k3,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_06e2,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_0lx3,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_0wnz,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_14eb,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,2,0.521313333,0.26,-0.261313333,False,dio_text_1orwsh,dio_text_5sj1ac|dio_text_axk913,True,False,False,False,False,False,False,False
dio_1del,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_1f9y,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,2,0.521313333,0.26,-0.261313333,False,dio_text_1orwsh,dio_text_5sj1ac|dio_text_axk913,True,False,False,False,False,False,False,False
dio_1yai,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.510796333,0.26,-0.250796333,False,dio_text_1llvid6,dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_0jfb,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.5004744,0.246666667,-0.253807733,False,dio_text_10zhe22,dio_text_1vfcwaq,True,False,False,False,False,False,False,False
dio_0nyz,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.5004744,0.246666667,-0.253807733,False,dio_text_10zhe22,dio_text_1vfcwaq,True,False,False,False,False,False,False,False
dio_0o3g,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.5004744,0.246666667,-0.253807733,False,dio_text_10zhe22,dio_text_1vfcwaq,True,False,False,False,False,False,False,False
dio_0o73,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,2,0.521313333,0.246666667,-0.274646667,False,dio_text_1orwsh,dio_text_1wi2d33|dio_text_axk913,True,False,False,False,False,False,False,False
dio_0uzt,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.5004744,0.246666667,-0.253807733,False,dio_text_10zhe22,dio_text_1vfcwaq,True,False,False,False,False,False,False,False
dio_1ldu,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.5004744,0.246666667,-0.253807733,False,dio_text_10zhe22,dio_text_1vfcwaq,True,False,False,False,False,False,False,False
