family,action,count,avg_reward,trust,caution,consequence_balance,avg_timing_improvement,carrying_trace,timing_residue,timing_to_carrying
dio_0t45,SHORT,9,1.44712,1.0,0.0,1.0,0.000878,1.44712,0.000878,0.000607
dio_0byw,LONG,10,1.431184,1.0,0.0,1.0,0.0,1.431184,0.0,0.0
dio_1lam,LONG,13,1.209479,1.0,0.0,1.0,0.000692,1.209479,0.000692,0.000572
dio_1ioc,SHORT,4,1.294136,0.539164,0.0,0.539164,0.000601,0.697752,0.000601,0.000861
dio_1r0h,SHORT,4,1.269335,0.528832,0.0,0.528832,0.0,0.671265,0.0,0.0
dio_0b0d,SHORT,4,1.215957,0.518315,0.0,0.518315,0.0,0.630249,0.0,0.0
dio_121e,SHORT,4,1.178935,0.491169,0.0,0.491169,0.000903,0.579056,0.000903,0.001559
dio_1cpq,SHORT,7,0.959923,0.598495,0.0,0.598495,0.0,0.574509,0.0,0.0
dio_0n4c,SHORT,4,1.138856,0.474472,0.0,0.474472,0.0,0.540355,0.0,0.0
dio_0nv8,SHORT,3,1.275405,0.387766,0.0,0.387766,0.0,0.494559,0.0,0.0
dio_14zx,SHORT,3,1.247754,0.379055,0.0,0.379055,0.0,0.472967,0.0,0.0
dio_1d6j,LONG,8,0.831913,0.563529,0.0,0.563529,0.001228,0.468807,0.001228,0.002619
dio_1h5i,LONG,3,1.156691,0.351391,0.0,0.351391,0.000476,0.406451,0.000476,0.001171
dio_0f4h,LONG,5,0.833239,0.452008,0.0,0.452008,0.000204,0.376631,0.000204,0.000542
dio_1hzf,SHORT,3,1.042312,0.316644,0.0,0.316644,0.0,0.330042,0.0,0.0
dio_1r0b,SHORT,6,0.759269,0.432407,0.0,0.432407,0.0,0.328313,0.0,0.0
dio_1uez,LONG,3,1.012891,0.307706,0.0,0.307706,0.0,0.311673,0.0,0.0
dio_179o,LONG,3,1.002304,0.30449,0.0,0.30449,0.0,0.305192,0.0,0.0
dio_052z,LONG,4,0.838118,0.349178,0.0,0.349178,0.0,0.292652,0.0,0.0
dio_1mc3,SHORT,3,0.965299,0.293248,0.0,0.293248,0.0,0.283072,0.0,0.0
dio_1ytj,LONG,4,0.843875,0.239329,0.0,0.239329,0.0,0.201964,0.0,0.0
dio_0nmi,LONG,6,0.538209,0.361661,0.0,0.361661,0.00034,0.194649,0.00034,0.001747
dio_0lt6,SHORT,6,0.550376,0.313441,0.0,0.313441,0.0,0.17251,0.0,0.0
dio_074d,SHORT,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_0k53,LONG,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_0olv,SHORT,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_0qyu,LONG,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_0rej,SHORT,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_0v36,SHORT,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_1144,SHORT,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_18wf,LONG,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_1gzm,SHORT,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_1tg9,LONG,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_1tki,LONG,2,1.0,0.1536,0.0,0.1536,0.0,0.1536,0.0,0.0
dio_0v7w,SHORT,3,0.826929,0.183009,0.0,0.183009,0.0,0.151335,0.0,0.0
dio_1sxo,SHORT,4,0.630538,0.236396,0.0,0.236396,0.000404,0.149057,0.000404,0.00271
dio_0uct,LONG,4,0.63359,0.234003,0.0,0.234003,0.0,0.148262,0.0,0.0
dio_081d,LONG,2,0.971189,0.149175,0.0,0.149175,0.0,0.144877,0.0,0.0
dio_05z6,SHORT,4,0.596946,0.22047,0.0,0.22047,0.0,0.131609,0.0,0.0
dio_13wt,SHORT,2,0.907308,0.139362,0.0,0.139362,0.0,0.126444,0.0,0.0
dio_0vyd,SHORT,2,0.899288,0.138131,0.0,0.138131,0.0,0.12422,0.0,0.0
dio_0i5m,SHORT,2,0.861846,0.13238,0.0,0.13238,0.0,0.114091,0.0,0.0
dio_0wsj,LONG,2,0.851593,0.130805,0.0,0.130805,0.0,0.111393,0.0,0.0
dio_1hkr,LONG,4,0.626468,0.177671,0.0,0.177671,0.0,0.111305,0.0,0.0
dio_0irs,LONG,2,0.848441,0.130321,0.0,0.130321,0.0,0.11057,0.0,0.0
dio_0w1v,SHORT,2,0.826929,0.127016,0.0,0.127016,0.0,0.105033,0.0,0.0
dio_07yj,LONG,2,0.822368,0.126316,0.0,0.126316,0.0,0.103878,0.0,0.0
dio_0fp8,SHORT,4,0.527853,0.194951,0.0,0.194951,0.0,0.102905,0.0,0.0
dio_1rka,LONG,2,0.790839,0.121473,0.0,0.121473,0.0,0.096066,0.0,0.0
dio_0xq8,LONG,2,0.790399,0.121405,0.0,0.121405,0.0,0.095958,0.0,0.0
dio_1bzs,SHORT,3,0.636587,0.140884,0.0,0.140884,0.0,0.089685,0.0,0.0
dio_0dcm,SHORT,2,0.755394,0.116029,0.0,0.116029,0.0,0.087648,0.0,0.0
dio_0zlr,SHORT,3,0.614947,0.136095,0.0,0.136095,0.0,0.083691,0.0,0.0
dio_0e6t,LONG,2,0.722767,0.111017,0.0,0.111017,0.0,0.080239,0.0,0.0
dio_0q8z,SHORT,2,0.718714,0.110394,0.0,0.110394,0.0,0.079342,0.0,0.0
dio_1ml8,LONG,2,0.674975,0.103676,0.0,0.103676,0.0,0.069979,0.0,0.0
dio_0av4,SHORT,3,0.552364,0.122245,0.0,0.122245,0.0,0.067524,0.0,0.0
dio_01yf,SHORT,2,0.645731,0.099184,0.0,0.099184,0.0,0.064046,0.0,0.0
dio_0oio,LONG,3,0.52798,0.116848,0.0,0.116848,0.0,0.061693,0.0,0.0
dio_0ifl,SHORT,1,0.861846,0.068948,0.0,0.068948,0.0,0.059423,0.0,0.0
dio_1jtc,LONG,2,0.603026,0.092625,0.0,0.092625,0.0,0.055855,0.0,0.0
dio_0nny,LONG,2,0.530989,0.08156,0.0,0.08156,0.0,0.043307,0.0,0.0
dio_1lz7,SHORT,2,0.51734,0.079463,0.0,0.079463,0.0,0.041109,0.0,0.0
dio_0odx,SHORT,13,0.20637,0.189463,0.0,0.189463,0.001437,0.039099,0.001437,0.036752
dio_19qg,SHORT,1,0.684984,0.054799,0.0,0.054799,0.0,0.037536,0.0,0.0
dio_1j0n,LONG,1,0.665185,0.053215,0.0,0.053215,0.0,0.035398,0.0,0.0
dio_1hjj,SHORT,5,0.321587,0.109635,0.0,0.109635,0.0,0.035257,0.0,0.0
dio_03fl,LONG,4,0.329002,0.093307,0.0,0.093307,0.0,0.030698,0.0,0.0
dio_1i0f,SHORT,2,0.436336,0.067021,0.0,0.067021,0.0,0.029244,0.0,0.0
dio_1wwt,LONG,4,0.310169,0.087966,0.0,0.087966,0.0,0.027284,0.0,0.0
dio_05vm,LONG,2,0.409619,0.062918,0.0,0.062918,0.0,0.025772,0.0,0.0
dio_0rgr,LONG,2,0.408055,0.062677,0.0,0.062677,0.0,0.025576,0.0,0.0
dio_185j,LONG,2,0.384912,0.059122,0.0,0.059122,0.0,0.022757,0.0,0.0
dio_1iuq,SHORT,3,0.318889,0.070574,0.0,0.070574,0.0,0.022505,0.0,0.0
dio_1mml,LONG,9,0.146862,0.101749,0.0,0.101749,0.0,0.014943,0.0,0.0
dio_1vb3,LONG,4,0.225555,0.063969,0.0,0.063969,0.0,0.014429,0.0,0.0
dio_0jqv,SHORT,2,0.294662,0.04526,0.0,0.04526,0.0,0.013336,0.0,0.0
