world,source_file,families,carry_signal_family_count,positive_carried_cos_family_count,avg_carry,max_carry,avg_carried_cos,max_carried_cos,avg_readiness,max_readiness,avg_inner_balance,avg_temporal_trust,avg_temporal_caution
probe14,debug\dio_mini_passive_family_vector_kinship_followup6_probe18_to_variant_probe14_followup2\dio_mini_passive_family_vector_kinship.csv,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe15,debug\dio_mini_passive_family_vector_kinship_12n_probe18_to_probe15\dio_mini_passive_family_vector_kinship.csv,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conflict16,debug\dio_mini_passive_family_vector_kinship_12n_probe18_to_probe16\dio_mini_passive_family_vector_kinship.csv,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe17,debug\dio_mini_passive_family_vector_kinship_12n_probe18_to_probe17\dio_mini_passive_family_vector_kinship.csv,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
