symbol_family,trace_carry_state,visible_probe_count,carried_probe_count,kipp_probe_count,carry_ratio,first_probe,last_probe,first_kipp_probe,first_kipp_state,carried_before_first_kipp,longest_carried_run,longest_kipp_run,dominant_kipp_state,family_temporal_kipp_state,direction_support_state,alignment_state,left_text_island_symbol,right_text_island_symbol,score_delta,probe_path,kipp_state_path,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_07t9,trace_carries_then_kipps,2,1,1,0.5,probe25,probe26,probe26,probe_neuro_tone_reorganizes,1,1,1,probe_neuro_tone_reorganizes,family_neuro_temporal_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1iy6mgi,dio_text_1iy6mgi,-0.276666666,probe25 -> probe26,probe_no_visible_kipp -> probe_neuro_tone_reorganizes,True,False,False,False,False,False,False,False
dio_0p12,trace_carries_then_kipps,2,1,1,0.5,probe25,probe26,probe26,probe_neuro_tone_reorganizes,1,1,1,probe_neuro_tone_reorganizes,family_neuro_temporal_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1nd8ac7,dio_text_1yu8n5z,-0.283333333,probe25 -> probe26,probe_no_visible_kipp -> probe_neuro_tone_reorganizes,True,False,False,False,False,False,False,False
dio_1fz7,trace_carries_then_kipps,2,1,1,0.5,probe23,probe24,probe24,probe_neuro_tone_reorganizes,1,1,1,probe_neuro_tone_reorganizes,family_neuro_temporal_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_53xiik,dio_text_53xiik,-0.276666666,probe23 -> probe24,probe_no_visible_kipp -> probe_neuro_tone_reorganizes,True,False,False,False,False,False,False,False
dio_0bde,trace_fully_carried,1,1,0,1.0,probe22,probe22,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_wgwxxp,dio_text_wgwxxp,-0.276666666,probe22,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0jx1,trace_fully_carried,1,1,0,1.0,probe25,probe25,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1htwnrh,dio_text_rpme7a,-0.27,probe25,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0ocv,trace_fully_carried,1,1,0,1.0,probe23,probe23,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1dmfjko,dio_text_1dmfjko,-0.276666666,probe23,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0rwa,trace_fully_carried,1,1,0,1.0,probe25,probe25,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_y8bf0y,dio_text_y8bf0y,-0.276666666,probe25,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_11vr,trace_fully_carried,3,3,0,1.0,probe20,probe22,-,probe_no_visible_kipp,3,3,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_38zk5e,dio_text_38zk5e,-0.276666666,probe20 -> probe21 -> probe22,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_19b6,trace_fully_carried,1,1,0,1.0,probe23,probe23,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_qt2gbm,dio_text_qt2gbm,-0.276666666,probe23,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_1fck,trace_fully_carried,1,1,0,1.0,probe23,probe23,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_se3c2x,dio_text_se3c2x,-0.276666666,probe23,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_1ndv,trace_fully_carried,1,1,0,1.0,probe23,probe23,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1tpco55,dio_text_1tpco55,-0.276666666,probe23,probe_no_visible_kipp,True,False,False,False,False,False,False,False
