family,rows,trades,tp,sl,reward_sum,tone_counts,avg_support,avg_load,avg_balance,max_trust_tone,max_caution_tone,max_strain_tone,max_relief_tone
dio_0cgn,4,0,0,0,0.0,{'focus_tone': 4},0.365226,0.1626425,0.20258325,0.007566,0.227055,0.151456,0.324703
dio_1w4m,8,0,0,0,0.0,{'focus_tone': 8},0.3446675,0.153150125,0.191517375,0.158617,0.260208,0.215445,0.350335
dio_1vjg,4,0,0,0,0.0,{'focus_tone': 4},0.339443,0.221276,0.11816675,0.008478,0.273888,0.24215,0.273452
dio_1k0r,4,0,0,0,0.0,{'focus_tone': 4},0.28951275,0.1912165,0.09829650000000001,0.005649,0.249748,0.195213,0.299518
dio_10kx,4,0,0,0,0.0,{'focus_tone': 4},0.28480425000000004,0.2033085,0.08149575,0.005685,0.259386,0.213916,0.288923
dio_1qig,4,0,0,0,0.0,{'focus_tone': 4},0.32871175,0.24822974999999997,0.08048175,0.008996,0.295441,0.283883,0.249892
dio_0rb2,4,0,0,0,0.0,{'observation_tone': 4},0.237928,0.16666725,0.07126075000000001,0.00314,0.229923,0.156784,0.320795
dio_1f4v,4,0,0,0,0.0,{'observation_tone': 4},0.23296225,0.17725649999999998,0.05570575,0.002985,0.238397,0.173128,0.311496
dio_1q9b,4,0,0,0,0.0,{'observation_tone': 4},0.23106025000000002,0.18092075,0.05013949999999999,0.003055,0.241309,0.1788,0.308294
dio_1t73,4,0,0,0,0.0,{'focus_tone': 4},0.273996,0.22585324999999998,0.048143,0.005654,0.27737,0.248747,0.269169
dio_04zi,4,0,0,0,0.0,{'focus_tone': 4},0.31589124999999996,0.273572,0.04231925,0.009,0.315671,0.323028,0.227696
dio_1g7l,4,0,0,0,0.0,{'observation_tone': 4},0.22756500000000002,0.188421,0.039143750000000005,0.003041,0.247296,0.190397,0.301714
dio_1jo7,4,0,0,0,0.0,{'observation_tone': 4},0.22741650000000002,0.18847075,0.038946,0.001601,0.247194,0.190224,0.301513
dio_0vc8,4,0,0,0,0.0,{'focus_tone': 4},0.26574825,0.24375575,0.0219925,0.002529,0.29131,0.275848,0.253159
dio_06bd,4,0,0,0,0.0,{'observation_tone': 4},0.24003625,0.2502685,-0.010232000000000002,0.004889,0.296737,0.286345,0.24768
dio_0ojr,4,0,0,0,0.0,{'observation_tone': 4},0.253642,0.26784075,-0.01419875,0.006112,0.310816,0.313709,0.232408
dio_0fa9,4,0,0,0,0.0,{'observation_tone': 4},0.2064175,0.2314495,-0.0250315,0.002912,0.281553,0.256922,0.263942
