metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
node_count_reference,305,True,False,False,False,False,False,False,False
node_count_candidate,302,True,False,False,False,False,False,False,False
shared_node_count,276,True,False,False,False,False,False,False,False
node_reproduction_rate,0.904918,True,False,False,False,False,False,False,False
edge_count_reference,12,True,False,False,False,False,False,False,False
edge_count_candidate,12,True,False,False,False,False,False,False,False
shared_edge_count,6,True,False,False,False,False,False,False,False
edge_reproduction_rate,0.5,True,False,False,False,False,False,False,False
island_count_reference,293,True,False,False,False,False,False,False,False
island_count_candidate,290,True,False,False,False,False,False,False,False
avg_island_similarity_reference,0.034124,True,False,False,False,False,False,False,False
avg_island_similarity_candidate,0.034478,True,False,False,False,False,False,False,False
