kind,count,executed,reward_sum,avg_reward,max_reward
positive_executed_contact,7,7,7.957822,1.136832,1.669852
observed_potential,24,0,0.0,0.0,0.0
held_same_episode_contact,5,0,0.0,0.0,0.0
