run,tick,timestamp_ms,family,action,raw_action,kind,reward,best_action_training,best_reward_training,phase_active,phase_age,episode_relation,episode_binding_pressure,episode_release_pressure,trade_readiness,mature_transfer,relative_positive_reward
40,1,1767300300000000,dio_1ioc,WAIT,WAIT,observed_potential,0.0,SHORT,1.669852,0,9999,none,0.0,1.0,0.005904,0.005904,0.0
40,2,1767300600000000,dio_0q8z,WAIT,WAIT,observed_potential,0.0,SHORT,1.306752,0,9999,none,0.0,1.0,0.005213,0.005213,0.0
40,3,1767300900000000,dio_1sxo,WAIT,WAIT,observed_potential,0.0,SHORT,0.993834,0,9999,none,0.0,1.0,0.037579,0.037579,0.0
40,4,1767301200000000,dio_0mp4,WAIT,WAIT,observed_potential,0.0,SHORT,0.20525,0,9999,none,0.0,1.0,0.004609,0.004609,0.0
40,5,1767301500000000,dio_0r8e,WAIT,WAIT,observed_potential,0.0,LONG,0.361444,0,9999,none,0.0,1.0,0.004006,0.004006,0.0
40,6,1767301800000000,dio_0iy2,WAIT,WAIT,observed_potential,0.0,LONG,0.275299,0,9999,none,0.0,1.0,0.003606,0.003606,0.0
40,7,1767302100000000,dio_066x,WAIT,WAIT,observed_potential,0.0,LONG,0.394004,0,9999,none,0.0,1.0,0.003489,0.003489,0.0
40,8,1767302400000000,dio_1d6j,LONG,LONG,positive_executed_contact,0.906071,LONG,0.906071,0,9999,none,0.0,1.0,0.239811,0.054771,0.542606
40,13,1767303900000000,dio_1ytj,WAIT,WAIT,observed_potential,0.0,LONG,1.534317,0,5,different_contact,0.0,1.0,0.003969,0.003969,0.0
40,14,1767304200000000,dio_1hkr,WAIT,WAIT,observed_potential,0.0,LONG,1.139033,0,6,different_contact,0.0,1.0,0.003734,0.003734,0.0
40,15,1767304500000000,dio_03fl,WAIT,WAIT,observed_potential,0.0,LONG,0.598185,0,7,different_contact,0.0,1.0,0.003814,0.003814,0.0
40,16,1767304800000000,dio_151h,WAIT,WAIT,observed_potential,0.0,LONG,0.081842,0,8,none,0.0,1.0,0.004347,0.004347,0.0
41,1,1767300300000000,dio_1ioc,WAIT,WAIT,observed_potential,0.0,SHORT,1.669852,0,9999,none,0.0,1.0,0.020868,0.020868,0.0
41,2,1767300600000000,dio_0q8z,WAIT,WAIT,observed_potential,0.0,SHORT,1.306752,0,9999,none,0.0,1.0,0.017637,0.017637,0.0
41,3,1767300900000000,dio_1sxo,SHORT,SHORT,positive_executed_contact,0.993834,SHORT,0.993834,0,9999,none,0.0,1.0,0.076944,0.069375,0.595163
