family_relation,reference_family,variant_family,episodes,variant_probes,same_action_rate,avg_sense_abs_delta_sum,dominant_semantic_state,semantic_states
dio_04kx->dio_0ic5,dio_04kx,dio_0ic5,2,26:2,0.0,0.0367685,neues_praebewusstes_muster,neues_praebewusstes_muster:2
dio_04kx->dio_0nwm,dio_04kx,dio_0nwm,4,20:2;24:2,0.5,0.0512465,neues_praebewusstes_muster,neues_praebewusstes_muster:2;signaturvariante_gleicher_sinnnaehe:2
dio_04kx->dio_0t5z,dio_04kx,dio_0t5z,2,23:2,1.0,2.135932,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_04kx->dio_0x0x,dio_04kx,dio_0x0x,2,22:2,1.0,0.055829,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_04kx->dio_1k5p,dio_04kx,dio_1k5p,2,21:2,1.0,0.116147,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_05k3->dio_05k3,dio_05k3,dio_05k3,8,20:2;21:2;22:2;26:2,1.0,0.04721125,wiedererkennung_stabil,wiedererkennung_stabil:8
dio_05k3->dio_0av4,dio_05k3,dio_0av4,2,23:2,0.0,0.0715185,neues_praebewusstes_muster,neues_praebewusstes_muster:2
dio_05k3->dio_1et3,dio_05k3,dio_1et3,2,24:2,1.0,0.114697,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_067m->dio_0687,dio_067m,dio_0687,2,23:2,1.0,2.53874,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_067m->dio_08ng,dio_067m,dio_08ng,2,21:2,1.0,0.2882015,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_067m->dio_0m7w,dio_067m,dio_0m7w,2,22:2,1.0,0.2065795,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_067m->dio_0td9,dio_067m,dio_0td9,2,24:2,1.0,0.259236,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_067m->dio_17ao,dio_067m,dio_17ao,4,20:2;26:2,1.0,0.15724375,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:4
dio_0fvj->dio_0fvj,dio_0fvj,dio_0fvj,4,20:2;22:2,1.0,0.02755775,wiedererkennung_stabil,wiedererkennung_stabil:4
dio_0fvj->dio_0sg3,dio_0fvj,dio_0sg3,2,21:2,1.0,0.1833835,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_0fvj->dio_0xt4,dio_0fvj,dio_0xt4,2,23:2,1.0,0.142363,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_0fvj->dio_1k1o,dio_0fvj,dio_1k1o,2,24:2,1.0,0.015464,feine_signaturverschiebung,feine_signaturverschiebung:2
dio_0fvj->dio_1tsz,dio_0fvj,dio_1tsz,2,26:2,1.0,0.0060485,feine_signaturverschiebung,feine_signaturverschiebung:2
dio_0qym->dio_0doc,dio_0qym,dio_0doc,4,21:2;24:2,1.0,0.0868815,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2;signaturvariante_gleicher_sinnnaehe:2
dio_0qym->dio_1dlu,dio_0qym,dio_1dlu,2,23:2,1.0,0.8034855,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_0qym->dio_1r1g,dio_0qym,dio_1r1g,6,20:2;22:2;26:2,1.0,0.041081,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:6
dio_0x52->dio_0x52,dio_0x52,dio_0x52,6,20:2;21:2;22:2,1.0,0.026671833,wiedererkennung_stabil,wiedererkennung_stabil:6
