semantic_state,episodes,same_action,same_action_rate,avg_sense_abs_delta_sum,max_sense_abs_delta_sum
feine_signaturverschiebung,18,18,1.0,0.014889111,0.019971
ferne_verwandtschaft_gleicher_richtung,84,84,1.0,0.473088048,2.540664
neues_praebewusstes_muster,20,0,0.0,0.5065636,2.180508
signaturvariante_gleicher_sinnnaehe,56,56,1.0,0.044888018,0.078064
wiedererkennung_stabil,38,38,1.0,0.038599974,0.143621
