variant_probe,episodes_compared,same_symbol,same_family,same_action,same_family_rate,same_action_rate,avg_sense_abs_delta_sum,max_sense_abs_delta_sum,semantic_states,passive_roles
20,36,10,10,32,0.277778,0.888889,0.063817194,0.182955,feine_signaturverschiebung:2;ferne_verwandtschaft_gleicher_richtung:10;neues_praebewusstes_muster:4;signaturvariante_gleicher_sinnnaehe:10;wiedererkennung_stabil:10,ferne_verwandtschaft_mit_gleicher_richtung:10;richtungskonflikt_als_beobachtung:4;stabiler_form_feld_kern:10;verwandte_signatur_mit_gleicher_richtung:12
21,36,6,6,34,0.166667,0.944444,0.144373444,0.417808,ferne_verwandtschaft_gleicher_richtung:20;neues_praebewusstes_muster:2;signaturvariante_gleicher_sinnnaehe:8;wiedererkennung_stabil:6,ferne_verwandtschaft_mit_gleicher_richtung:20;richtungskonflikt_als_beobachtung:2;stabiler_form_feld_kern:6;verwandte_signatur_mit_gleicher_richtung:8
22,36,10,10,34,0.277778,0.944444,0.063309528,0.206683,feine_signaturverschiebung:6;ferne_verwandtschaft_gleicher_richtung:8;neues_praebewusstes_muster:2;signaturvariante_gleicher_sinnnaehe:10;wiedererkennung_stabil:10,ferne_verwandtschaft_mit_gleicher_richtung:8;richtungskonflikt_als_beobachtung:2;stabiler_form_feld_kern:10;verwandte_signatur_mit_gleicher_richtung:16
23,36,0,0,28,0.0,0.777778,1.09785775,2.540664,ferne_verwandtschaft_gleicher_richtung:26;neues_praebewusstes_muster:8;signaturvariante_gleicher_sinnnaehe:2,ferne_verwandtschaft_mit_gleicher_richtung:26;richtungskonflikt_als_beobachtung:8;verwandte_signatur_mit_gleicher_richtung:2
24,36,2,2,34,0.055556,0.944444,0.095969944,0.259357,feine_signaturverschiebung:2;ferne_verwandtschaft_gleicher_richtung:16;neues_praebewusstes_muster:2;signaturvariante_gleicher_sinnnaehe:14;wiedererkennung_stabil:2,ferne_verwandtschaft_mit_gleicher_richtung:16;richtungskonflikt_als_beobachtung:2;stabiler_form_feld_kern:2;verwandte_signatur_mit_gleicher_richtung:16
26,36,10,10,34,0.277778,0.944444,0.03798325,0.131711,feine_signaturverschiebung:8;ferne_verwandtschaft_gleicher_richtung:4;neues_praebewusstes_muster:2;signaturvariante_gleicher_sinnnaehe:12;wiedererkennung_stabil:10,ferne_verwandtschaft_mit_gleicher_richtung:4;richtungskonflikt_als_beobachtung:2;stabiler_form_feld_kern:10;verwandte_signatur_mit_gleicher_richtung:20
