trajectory_state,count,avg_score_delta,avg_max_drift_pressure,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
persistent_raw_history,115,0.172637681,0.0,True,False,False,False,False,False,False,False
stable_foreign_boundary_history,99,0.0,0.0,True,False,False,False,False,False,False,False
reorganized_into_core,29,0.387771648,0.051724138,True,False,False,False,False,False,False,False
late_text_island_emergence,22,0.323757355,0.272727273,True,False,False,False,False,False,False,False
stable_variation_history,13,0.001760146,0.0,True,False,False,False,False,False,False,False
stable_inner_soft_variation_space,12,0.045008572,0.236111111,True,False,False,False,False,False,False,False
mixed_reorganization_history,10,0.124157993,0.191666667,True,False,False,False,False,False,False,False
core_to_drift_reorganization,5,-0.122775086,0.250714286,True,False,False,False,False,False,False,False
stable_recurrence_history,5,0.024666667,0.0,True,False,False,False,False,False,False,False
core_to_soft_variation,3,0.210614441,0.095238095,True,False,False,False,False,False,False,False
persistent_drift_history,2,0.106410566,0.5,True,False,False,False,False,False,False,False
