family_action,variant_reife_state,event_reward_sum,symbol_family,action,freshness_state,source_count,episode_count,run_count,outcome_events,avg_event_reward,phase_time_states,avg_phase_distance,avg_binding_pressure,avg_release_pressure,related_reference_family,related_reference_action,related_reference_outcome,transfer_reife_state,transfer_reife,transfer_similarity,transfer_event_relation,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,variant_reife_sentence
dio_0120:WAIT,variant_local_wait_context,0.0,dio_0120,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,active_afterimage_contact:3,0.407697,0.596279,0.289306,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0120:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_10dk:WAIT,variant_local_wait_context,0.0,dio_10dk,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_10dk:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1d1z:WAIT,variant_local_wait_context,0.0,dio_1d1z,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1d1z:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1f9y:WAIT,variant_local_wait_context,0.0,dio_1f9y,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.359538,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1f9y:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_143d:WAIT,variant_related_observation_trace,0.0,dio_143d,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.394757,0.0,1.0,dio_14xc,WAIT,NO_TRADE,transfer_reife_quiet_same_consequence,0.903487085,0.982860751,neutral_to_neutral,1,0,0,0,0,0,"dio_143d:WAIT: Die Variante ist verwandt mit dio_14xc (similarity=0.982861), bleibt aber Beobachtung."
dio_1c6b:WAIT,variant_related_observation_trace,0.0,dio_1c6b,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_1txv,SHORT,TP,transfer_reife_open,0.500622741,0.993744055,positive_to_neutral,1,0,0,0,0,0,"dio_1c6b:WAIT: Die Variante ist verwandt mit dio_1txv (similarity=0.993744), bleibt aber Beobachtung."
dio_1d3r:WAIT,variant_related_observation_trace,0.0,dio_1d3r,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.420484664,0.78285438,positive_to_neutral,1,0,0,0,0,0,"dio_1d3r:WAIT: Die Variante ist verwandt mit dio_0arw (similarity=0.782854), bleibt aber Beobachtung."
dio_1m4n:WAIT,variant_related_observation_trace,0.0,dio_1m4n,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.389568,0.0,1.0,dio_1vpi,SHORT,TP,transfer_reife_open,0.494182048,0.976794864,positive_to_neutral,1,0,0,0,0,0,"dio_1m4n:WAIT: Die Variante ist verwandt mit dio_1vpi (similarity=0.976795), bleibt aber Beobachtung."
dio_0n9e:LONG,variant_self_carried_action_trace,3.0,dio_0n9e,LONG,fresh_local_episode_trace,1,3,3,TP:3,1.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0n9e:LONG: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=3.000000.
dio_1k7y:LONG,variant_self_carried_action_trace,3.0,dio_1k7y,LONG,fresh_local_episode_trace,1,3,3,TP:3,1.0,executed_temporal_contact:3,0.552587,0.0,1.0,dio_02qu,LONG,TP,transfer_reife_carried_same_consequence,0.90037238,0.737822053,positive_to_positive,1,0,0,0,0,0,dio_1k7y:LONG: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=3.000000.
