variant_reife_state,count,event_reward_sum,episode_count,avg_transfer_similarity,family_actions
variant_local_wait_context,4,0.0,12,0.0,"dio_0120:WAIT,dio_10dk:WAIT,dio_1d1z:WAIT,dio_1f9y:WAIT"
variant_related_observation_trace,4,0.0,12,0.934063512,"dio_143d:WAIT,dio_1c6b:WAIT,dio_1d3r:WAIT,dio_1m4n:WAIT"
variant_self_carried_action_trace,2,6.0,6,0.737822053,"dio_0n9e:LONG,dio_1k7y:LONG"
