sentence_symbol,contact_symbol,contact_lage_state,symbol_family,episode_contact_state,count,reward_sum,actions,passive_only
dio_sentence_03q0guk,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_14eb,kontakt_handlung_bestaetigt,4,5.683204,SHORT:4,1
dio_sentence_0vkd3n3,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_14eb,kontakt_handlung_bestaetigt,4,5.588612,SHORT:4,1
dio_sentence_0cx8x5c,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_0wv3,kontakt_handlung_bestaetigt,4,5.321888,LONG:4,1
dio_sentence_0aq7ulj,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_0wv3,kontakt_handlung_bestaetigt,4,5.156112,LONG:4,1
dio_sentence_01iyel5,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1tmf,kontakt_handlung_bestaetigt,2,2.83212,LONG:2,1
dio_sentence_1dlzyti,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_0szn,kontakt_handlung_bestaetigt,3,2.111256,SHORT:3,1
dio_sentence_148ycwh,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_0szn,kontakt_handlung_bestaetigt,3,2.086161,SHORT:3,1
dio_sentence_0g19qiw,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0wv3,kontakt_handlung_bestaetigt,1,1.56334,SHORT:1,1
dio_sentence_1mqwewp,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0y4s,kontakt_handlung_bestaetigt,1,1.045363,SHORT:1,1
dio_sentence_12rldf0,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0eji,kontakt_handlung_bestaetigt,1,0.884386,LONG:1,1
dio_sentence_1jvdh47,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_0eh8,kontakt_handlung_bestaetigt,1,0.742752,SHORT:1,1
dio_sentence_0ey4zvf,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_124d,kontakt_handlung_bestaetigt,1,0.726418,LONG:1,1
dio_sentence_0178kui,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1gp1,kontakt_handlung_bestaetigt,1,0.709061,SHORT:1,1
dio_sentence_0pi4kwj,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_16kb,kontakt_handlung_bestaetigt,1,0.614879,SHORT:1,1
dio_sentence_1p2afwb,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_19i4,kontakt_handlung_bestaetigt,1,0.536005,SHORT:1,1
dio_sentence_0trwl30,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_1l2h,kontakt_handlung_bestaetigt,1,0.184471,LONG:1,1
dio_sentence_033vpat,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_1ayy,kontakt_beobachtet_reift,4,0.0,WAIT:4,1
