family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_1d6j,"40,41,42,43",4,1,4,0.25,4,0,0,4,0,4,0,3.624284,0.906071,0,0.0
dio_1ioc,"40,41,42,43",4,1,4,0.25,0,2,2,0,2,0,4,3.339704,0.834926,2,0.071928
dio_1ytj,"40,41,42,43",4,1,4,0.25,0,0,4,2,0,4,0,0.0,0.0,4,0.034416
dio_1hkr,"40,41,42,43",4,1,4,0.25,0,0,4,2,0,4,0,0.0,0.0,4,0.034709
dio_03fl,"40,41,42,43",4,1,4,0.25,0,0,4,1,0,4,0,0.0,0.0,4,0.040459
dio_151h,"40,41,42,43",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.059286
dio_0iy2,"40,42,43",3,1,3,0.333333,0,0,3,0,0,3,0,0.0,0.0,3,0.046197
dio_066x,"40,42,43",3,1,3,0.333333,0,0,3,0,0,3,0,0.0,0.0,3,0.044373
dio_1sxo,"40,41",2,1,2,0.5,0,1,1,0,1,0,2,0.993834,0.496917,1,0.048361
dio_0q8z,"40,41",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.064613
dio_0mp4,40,1,1,1,1.0,0,0,1,0,0,0,1,0.0,0.0,1,0.06285
dio_0r8e,40,1,1,1,1.0,0,0,1,0,0,1,0,0.0,0.0,1,0.054621
