target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_01nr,dio_1d6j,0.226172,0.773828,1.340779,4.768065,"sensor_relation_probe2,sensor_relation_probe6_variation","order_shift,order_shift_varianz",1,5,3,3
dio_01nr,dio_0qb3,0.299534,0.700466,1.340779,5.353388,"sensor_relation_probe2,sensor_relation_probe6_variation","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",1,9,3,3
dio_01nr,dio_0nmi,0.477671,0.522329,1.340779,6.770993,"sensor_relation_probe2,sensor_relation_probe6_variation","order_shift,sensor_relation_probe2",1,4,3,1
dio_07wx,dio_1tik,0.042244,0.957756,0.758933,3.63996,sensor_relation_probe6_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",1,8,3,4
dio_07wx,dio_0a54,0.110217,0.889783,0.758933,3.445308,sensor_relation_probe6_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",1,6,3,4
dio_07wx,dio_0nmi,0.379815,0.620185,0.758933,6.770993,sensor_relation_probe6_variation,"order_shift,sensor_relation_probe2",1,4,3,1
dio_0kpn,dio_0nmi,0.115408,0.884592,0.0,6.770993,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation","order_shift,sensor_relation_probe2",0,4,13,1
dio_0kpn,dio_0x52,0.444189,0.555811,0.0,3.99281,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation","sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,13,3
dio_0kpn,dio_09jn,0.447227,0.552773,0.0,4.693512,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,15,13,5
dio_0wv3,dio_0x52,0.032409,0.967591,0.947695,3.99281,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",1,5,3,3
dio_0wv3,dio_14wi,0.044853,0.955147,0.947695,4.496005,sensor_relation_probe6_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat",1,5,3,3
dio_0wv3,dio_14mj,0.059774,0.940226,0.947695,7.185447,sensor_relation_probe6_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",1,9,3,3
dio_1kqv,dio_09jn,0.113465,0.886535,0.0,4.693512,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,15,20,5
dio_1kqv,dio_1vm7,0.260959,0.739041,0.0,3.554517,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,3,20,2
dio_1kqv,dio_14mj,0.282508,0.717492,0.0,7.185447,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,9,20,3
dio_1nlc,dio_0nmi,0.036299,0.963701,2.666613,6.770993,sensor_relation_probe6_variation,"order_shift,sensor_relation_probe2",3,4,0,1
dio_1nlc,dio_1tik,0.397421,0.602579,2.666613,3.63996,sensor_relation_probe6_variation,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,8,0,4
dio_1nlc,dio_0x52,0.428451,0.571549,2.666613,3.99281,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",3,5,0,3
dio_1vpi,dio_1vm7,0.073577,0.926423,2.597526,3.554517,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,3,2,2
dio_1vpi,dio_09jn,0.160278,0.839722,2.597526,4.693512,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",2,15,2,5
dio_1vpi,dio_0x52,0.308598,0.691402,2.597526,3.99281,sensor_relation_probe6_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,5,2,3
