inner_state,contact_state,count,reward_sum,best_reward_sum,avg_reward,families,actions
inner_carried,executed_positive_contact,12,13.806564,13.806564,1.150547,"dio_04z7,dio_0ofo,dio_1bwb","LONG,SHORT"
inner_open_observation,observed_potential_contact,8,0.0,1.078624,0.0,"dio_14xc,dio_1mym",WAIT
inner_unfinished,held_active_impulse,4,0.0,2.780168,0.0,dio_1k7y,WAIT
