summary_group,state,count,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
sensor_exchange_state,hearing_dominant_delta,7,,True,False,False,False,False,False,False,False
sensor_exchange_state,neuro_dominant_delta,3,,True,False,False,False,False,False,False,False
sensor_exchange_state,visual_dominant_delta,3,,True,False,False,False,False,False,False,False
sensor_exchange_state,no_clear_sensor_delta,1,,True,False,False,False,False,False,False,False
avg_exchange_distance,visual,,0.029690973,True,False,False,False,False,False,False,False
avg_exchange_distance,hearing,,0.052058573,True,False,False,False,False,False,False,False
avg_exchange_distance,feeling,,0.024518457,True,False,False,False,False,False,False,False
avg_exchange_distance,neuro,,0.030064698,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,visual,,0.009669722,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,hearing,,0.010924298,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,feeling,,0.006137357,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,neuro,,0.023160944,True,False,False,False,False,False,False,False
