symbol_family,action,outcome_event,event_count,event_reward_sum,event_avg_reward,memory_family_count,memory_action_count,memory_reward_sum,memory_avg_reward,memory_trust,memory_caution,memory_trust_minus_caution,memory_last_reward,memory_timing_improvement_sum,consequence_effect,passive_only
dio_0120,WAIT,NO_TRADE,1,0.0,0.0,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_01vz,WAIT,NO_TRADE,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_040y,WAIT,NO_TRADE,1,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_10dk,WAIT,NO_TRADE,1,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_143d,WAIT,NO_TRADE,1,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_14xc,WAIT,NO_TRADE,1,0.0,0.0,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1c6b,WAIT,NO_TRADE,2,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1d1z,WAIT,NO_TRADE,1,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1f9y,WAIT,NO_TRADE,1,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1m4n,WAIT,NO_TRADE,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1mym,WAIT,NO_TRADE,1,0.0,0.0,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1d3r,LONG,SL,1,-1.0,-1.0,4,4,0.38821,0.097053,0.088072,0.14,-0.051928,-1.0,0.00654,sl_caution_dominant,1
dio_0ofo,LONG,TP,1,1.0,1.0,8,8,9.863302,1.232913,0.851404,0.0,0.851404,1.0,0.011895,tp_trust_visible,1
dio_0ps1,LONG,TP,1,1.0,1.0,3,3,2.520113,0.840038,0.2404,0.0,0.2404,1.0,0.001778,tp_trust_visible,1
dio_1c6b,SHORT,TP,1,1.0,1.0,3,3,2.1,0.7,0.212653,0.0,0.212653,1.0,0.000588,tp_trust_visible,1
dio_1d1z,SHORT,TP,1,1.0,1.0,5,5,2.060875,0.412175,0.207658,0.0,0.207658,1.0,0.001376,tp_trust_visible,1
dio_1k7y,LONG,TP,3,3.0,1.0,11,11,6.058183,0.550744,0.482303,0.0,0.482303,1.0,0.016355,tp_trust_visible,1
