family,local_action,local_confirmation,state,confirmation_label,runs,rows,executed_long,executed_short,best_long,best_short,reward_sum,observation_learning_events,avg_observation_pressure,best_support_family,best_support_action,best_support_score,support_matches_local,best_conflict_family,best_conflict_actions,best_conflict_score,phase,support_pair
dio_1lam,LONG,0.547193,locally_confirmed,executed_local_confirmation,"23,24,25,26",4,2,0,4,0,2.59888,2,0.052615,dio_0byw,LONG,1.270966,1,dio_0n4c,LONG/SHORT,1.071978,sensorischer_shift,dio_0byw<->dio_1lam
dio_1hzf,SHORT,0.449272,locally_confirmed,executed_local_confirmation,"23,24,25",3,0,1,0,3,1.489018,2,0.040178,dio_1bzs,SHORT,1.006119,1,dio_1uez,SHORT/LONG,0.727878,sensorischer_shift,dio_1bzs<->dio_1hzf
dio_1r0b,SHORT,0.374475,locally_confirmed,executed_local_confirmation,"23,24,25,26",4,0,1,0,4,0.979702,3,0.038788,dio_0fp8,SHORT,0.994204,1,dio_0irs,SHORT/LONG,0.628091,sensorischer_shift,dio_0fp8<->dio_1r0b
dio_1mml,LONG,0.34368,locally_confirmed,executed_local_confirmation,"23,24,25,26",4,1,0,4,0,0.237245,3,0.016912,dio_0uct,LONG,0.995472,1,dio_18iw,LONG/SHORT,0.696792,sensorischer_shift,dio_0uct<->dio_1mml
dio_1h37,LONG,0.227114,observed_related,observed_related_potential,"23,24,25,26",4,0,0,4,0,0.0,4,0.039524,dio_1j78,LONG,0.995814,1,dio_18iw,LONG/SHORT,0.98756,sensorischer_shift,dio_1h37<->dio_1j78
dio_0t45,SHORT,0.226556,observed_related,observed_related_potential,"23,24",2,0,0,0,2,0.0,2,0.036423,dio_0b0d,SHORT,0.974687,1,dio_1ml8,SHORT/LONG,0.663318,sensorischer_shift,dio_0b0d<->dio_0t45
dio_13ey,LONG,0.226299,observed_related,observed_related_potential,"23,24",2,0,0,2,0,0.0,2,0.034995,dio_0oio,LONG,0.952469,1,dio_0odx,LONG/SHORT,0.854924,sensorischer_shift,dio_0oio<->dio_13ey
dio_0olv,SHORT,0.226287,observed_related,observed_related_potential,"23,24",2,0,0,0,2,0.0,2,0.034928,dio_0i5m,SHORT,0.994741,1,dio_01nf,SHORT/LONG,0.911292,sensorischer_shift,dio_0i5m<->dio_0olv
dio_1jtc,LONG,0.226207,observed_related,observed_related_potential,"23,24",2,0,0,2,0,0.0,2,0.034486,dio_07yj,LONG,0.959114,1,dio_13wt,LONG/SHORT,0.955021,sensorischer_shift,dio_07yj<->dio_1jtc
dio_0e6t,LONG,0.226095,observed_related,observed_related_potential,"23,24",2,0,0,2,0,0.0,2,0.033862,dio_0wsj,LONG,0.898532,1,dio_0vyd,LONG/SHORT,0.990375,sensorischer_shift,dio_0e6t<->dio_0wsj
dio_05vm,LONG,0.226061,observed_related,observed_related_potential,"23,24",2,0,0,2,0,0.0,2,0.033673,dio_1ml8,LONG,0.918745,1,dio_1144,LONG/SHORT,0.850637,sensorischer_shift,dio_05vm<->dio_1ml8
dio_0z1h,LONG,0.225926,observed_related,observed_related_potential,"23,24,25",3,0,0,3,0,0.0,3,0.032924,dio_179o,LONG,0.971474,1,dio_1iuq,LONG/SHORT,0.533863,sensorischer_shift,dio_0z1h<->dio_179o
dio_0odx,SHORT,0.225925,observed_related,observed_related_potential,"23,24,25,26",4,0,0,0,4,0.0,4,0.032918,dio_0rh0,SHORT,0.956787,1,dio_1ieq,SHORT/LONG,0.953578,sensorischer_shift,dio_0odx<->dio_0rh0
dio_1gzm,SHORT,0.225643,observed_related,observed_related_potential,"23,24",2,0,0,0,2,0.0,2,0.031348,dio_0nv8,SHORT,1.006561,1,dio_01nf,SHORT/LONG,0.955067,sensorischer_shift,dio_0nv8<->dio_1gzm
dio_1cpq,SHORT,0.225088,observed_related,observed_related_potential,"23,24,26",3,0,0,0,3,0.0,3,0.028264,dio_19qg,SHORT,0.987757,1,dio_07mf,SHORT/LONG,0.691075,sensorischer_shift,dio_19qg<->dio_1cpq
dio_1hjj,SHORT,0.224765,observed_related,observed_related_potential,"23,24,25,26",4,0,0,0,4,0.0,4,0.026472,dio_1iuq,SHORT,0.933789,1,dio_07mf,SHORT/LONG,0.948432,sensorischer_shift,dio_1hjj<->dio_1iuq
