support_pair,families,phases,phase_count,rows,executed_local_confirmation,observed_related_potential,long_local,short_local,avg_local_confirmation,max_local_confirmation,reward_sum
dio_0byw<->dio_1lam,"dio_0byw,dio_1lam",sensorischer_shift,1,1,1,0,1,0,0.547193,0.547193,2.59888
dio_1bzs<->dio_1hzf,"dio_1bzs,dio_1hzf",sensorischer_shift,1,1,1,0,0,1,0.449272,0.449272,1.489018
dio_0fp8<->dio_1r0b,"dio_0fp8,dio_1r0b",sensorischer_shift,1,1,1,0,0,1,0.374475,0.374475,0.979702
dio_0uct<->dio_1mml,"dio_0uct,dio_1mml",sensorischer_shift,1,1,1,0,1,0,0.34368,0.34368,0.237245
dio_1h37<->dio_1j78,"dio_1h37,dio_1j78",sensorischer_shift,1,1,0,1,1,0,0.227114,0.227114,0.0
dio_0b0d<->dio_0t45,"dio_0b0d,dio_0t45",sensorischer_shift,1,1,0,1,0,1,0.226556,0.226556,0.0
dio_0oio<->dio_13ey,"dio_0oio,dio_13ey",sensorischer_shift,1,1,0,1,1,0,0.226299,0.226299,0.0
dio_0i5m<->dio_0olv,"dio_0i5m,dio_0olv",sensorischer_shift,1,1,0,1,0,1,0.226287,0.226287,0.0
dio_07yj<->dio_1jtc,"dio_07yj,dio_1jtc",sensorischer_shift,1,1,0,1,1,0,0.226207,0.226207,0.0
dio_0e6t<->dio_0wsj,"dio_0e6t,dio_0wsj",sensorischer_shift,1,1,0,1,1,0,0.226095,0.226095,0.0
dio_05vm<->dio_1ml8,"dio_05vm,dio_1ml8",sensorischer_shift,1,1,0,1,1,0,0.226061,0.226061,0.0
dio_0z1h<->dio_179o,"dio_0z1h,dio_179o",sensorischer_shift,1,1,0,1,1,0,0.225926,0.225926,0.0
dio_0odx<->dio_0rh0,"dio_0odx,dio_0rh0",sensorischer_shift,1,1,0,1,0,1,0.225925,0.225925,0.0
dio_0nv8<->dio_1gzm,"dio_0nv8,dio_1gzm",sensorischer_shift,1,1,0,1,0,1,0.225643,0.225643,0.0
dio_19qg<->dio_1cpq,"dio_19qg,dio_1cpq",sensorischer_shift,1,1,0,1,0,1,0.225088,0.225088,0.0
dio_1hjj<->dio_1iuq,"dio_1hjj,dio_1iuq",sensorischer_shift,1,1,0,1,0,1,0.224765,0.224765,0.0
