family,phases,phase_count,rows,executed_local_confirmation,observed_related_potential,unexecuted_local_potential,unconfirmed,long_local,short_local,avg_local_confirmation,max_local_confirmation,reward_sum,top_support_family,top_support_count,top_conflict_family,top_conflict_count
dio_1lam,sensorischer_shift,1,1,1,0,0,0,1,0,0.547193,0.547193,2.59888,dio_0byw,1,dio_0n4c,1
dio_1hzf,sensorischer_shift,1,1,1,0,0,0,0,1,0.449272,0.449272,1.489018,dio_1bzs,1,dio_1uez,1
dio_1r0b,sensorischer_shift,1,1,1,0,0,0,0,1,0.374475,0.374475,0.979702,dio_0fp8,1,dio_0irs,1
dio_1mml,sensorischer_shift,1,1,1,0,0,0,1,0,0.34368,0.34368,0.237245,dio_0uct,1,dio_18iw,1
dio_1h37,sensorischer_shift,1,1,0,1,0,0,1,0,0.227114,0.227114,0.0,dio_1j78,1,dio_18iw,1
dio_0t45,sensorischer_shift,1,1,0,1,0,0,0,1,0.226556,0.226556,0.0,dio_0b0d,1,dio_1ml8,1
dio_13ey,sensorischer_shift,1,1,0,1,0,0,1,0,0.226299,0.226299,0.0,dio_0oio,1,dio_0odx,1
dio_0olv,sensorischer_shift,1,1,0,1,0,0,0,1,0.226287,0.226287,0.0,dio_0i5m,1,dio_01nf,1
dio_1jtc,sensorischer_shift,1,1,0,1,0,0,1,0,0.226207,0.226207,0.0,dio_07yj,1,dio_13wt,1
dio_0e6t,sensorischer_shift,1,1,0,1,0,0,1,0,0.226095,0.226095,0.0,dio_0wsj,1,dio_0vyd,1
dio_05vm,sensorischer_shift,1,1,0,1,0,0,1,0,0.226061,0.226061,0.0,dio_1ml8,1,dio_1144,1
dio_0z1h,sensorischer_shift,1,1,0,1,0,0,1,0,0.225926,0.225926,0.0,dio_179o,1,dio_1iuq,1
dio_0odx,sensorischer_shift,1,1,0,1,0,0,0,1,0.225925,0.225925,0.0,dio_0rh0,1,dio_1ieq,1
dio_1gzm,sensorischer_shift,1,1,0,1,0,0,0,1,0.225643,0.225643,0.0,dio_0nv8,1,dio_01nf,1
dio_1cpq,sensorischer_shift,1,1,0,1,0,0,0,1,0.225088,0.225088,0.0,dio_19qg,1,dio_07mf,1
dio_1hjj,sensorischer_shift,1,1,0,1,0,0,0,1,0.224765,0.224765,0.0,dio_1iuq,1,dio_07mf,1
