family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_1erd,4,52,55,1,3,0,1,0.979017,0.081035,0.073134,observation_to_execution
dio_17tf,4,52,55,1,3,0,1,0.745509,0.061897,0.060391,observation_to_execution
dio_0ga4,3,52,54,1,2,0,1,1.355456,0.05351,0.05351,observation_to_execution
dio_0n4c,4,52,55,4,0,0,4,4.34092,0.714173,0.075569,persistent_execution
dio_1hkr,3,52,55,3,0,0,3,0.199002,0.169446,0.057036,persistent_execution
dio_1527,4,52,55,0,4,0,0,0.0,0.03969,0.03969,stable_observation
dio_1nnb,3,52,55,0,3,0,0,0.0,0.038186,0.038186,stable_observation
dio_1hcy,2,52,53,0,2,0,0,0.0,0.018537,0.018537,stable_observation
dio_1nlc,2,52,53,0,2,0,0,0.0,0.02177,0.02177,stable_observation
dio_1xmg,2,52,53,0,2,0,0,0.0,0.021631,0.021631,stable_observation
dio_03fl,1,54,54,0,1,1,1,0.0,0.082293,0.057451,raw_pressure_held
dio_0p6m,1,54,54,0,1,0,0,0.0,0.004729,0.004729,stable_observation
dio_13ud,1,54,54,0,1,0,0,0.0,0.004013,0.004013,stable_observation
dio_15fd,1,54,54,0,1,0,0,0.0,0.004491,0.004491,stable_observation
dio_1ieq,1,54,54,0,1,1,1,0.0,0.087746,0.057025,raw_pressure_held
