direction_support_state,family_count,avg_episode_count_delta,avg_best_reward_training_delta,avg_trade_readiness_delta,families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
direction_support_not_visible_right,39,-0.051282051,-0.025641026,-9.9936e-05,dio_01sj|dio_07t9|dio_09u3|dio_0bde|dio_0ft4|dio_0g9z|dio_0jx1|dio_0ksa|dio_0l9d|dio_0nrp|dio_0ocv|dio_0p12|dio_0rwa|dio_0t27|dio_0v3a|dio_0w16|dio_0z2v|dio_108f|dio_140n|dio_14eb|dio_15lu|dio_17ny|dio_19b6|dio_1a1w|dio_1fck|dio_1ffn|dio_1fz7|dio_1jgc|dio_1mrs|dio_1ndv,True,False,False,False,False,False,False,False
same_sensory_field_direction_reward_weakens,11,-2.363636364,-0.837916227,-0.003499136,dio_01w7|dio_03yz|dio_06gy|dio_095l|dio_0bm2|dio_0x52|dio_1ekr|dio_1f9y|dio_1im7|dio_1jba|dio_1xfl,True,False,False,False,False,False,False,False
direction_support_reorganized,10,1.8,0.75508235,0.00194995,dio_005q|dio_05ws|dio_06b8|dio_0gmg|dio_0o73|dio_0pni|dio_19bg|dio_1i05|dio_1lg2|dio_1vz0,True,False,False,False,False,False,False,False
same_sensory_field_same_direction_but_reife_kippt,3,0.0,0.0,-4.833e-06,dio_0q96|dio_0xkp|dio_11vr,True,False,False,False,False,False,False,False
